,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
21,Arda Güler,tr TUR,"DL,CC",19-018,4.0,0,30.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,4.0,1.0,6.0,3.0,0.0,3.0,3.0,3.0,1.33,0.0,1.33,1.33,1.33,Partidos,
22,Nicolás Paz,ar ARG,"CC,DL",19-188,4.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Partidos,
23,Gonzalo García,es ESP,"DL,CC",19-356,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Partidos,
24,Álvaro Muñoz,uy URU,DL,19-244,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
25,Lucas Cañizares,es ESP,PO,21-309,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
26,Álvaro Carrillo,es ESP,DF,21-343,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
27,Fran González,es ESP,PO,18-264,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
28,Fran González,es ESP,DF,25-214,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
29,Mario de Luis,es ESP,PO,21-283,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
30,Mario Martín,es ESP,CC,20-009,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
