,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
92,Fermin López,es ESP,"CC,DL",20-308,21.0,6,800.0,8.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.6,3.6,0.5,4.2,19.0,41.0,46.0,0.23,0.0,0.23,0.23,0.23,0.41,0.06,0.47,0.41,0.47,Partidos,
93,Sergi Roberto,es ESP,"CC,DF",32-036,6.0,4,357.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.5,1.5,0.3,1.8,6.0,16.0,19.0,0.76,0.25,1.01,0.76,1.01,0.39,0.07,0.46,0.39,0.46,Partidos,
94,Marcos Alonso,es ESP,DF,33-077,4.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,8.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27,0.32,0.05,0.32,Partidos,
95,Vitor Roque,br BRA,DL,19-015,8.0,1,197.0,2.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.5,2.5,0.0,2.5,7.0,1.0,16.0,0.91,0.0,0.91,0.91,0.91,1.12,0.02,1.14,1.12,1.14,Partidos,
96,Héctor Fort,es ESP,DF,17-225,3.0,1,97.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.0,12.0,0.0,0.93,0.93,0.0,0.93,0.0,0.27,0.27,0.0,0.27,Partidos,
97,Marc Guiu,es ESP,"DL,CC",18-070,3.0,1,74.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.0,1.0,1.0,8.0,1.22,0.0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,Partidos,
98,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-088,2.0,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,Partidos,
99,Eric García,es ESP,DF,23-065,2.0,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Partidos,
100,Ansu Fati,es ESP,"CC,DL",21-135,3.0,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,1.34,1.34,1.34,Partidos,
101,Ander Astralaga,es ESP,PO,20-011,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
102,Marc Casado,es ESP,CC,20-182,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
103,Aleix Garrido,es ESP,CC,20-021,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
104,Unai Hernandez,es ESP,CC,19-091,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
105,Diego Kochen,us USA,PO,17-361,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
106,Mikayil Ngor Faye,sn SEN,DF,19-244,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
107,Pau Prim,es ESP,CC,18-021,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
108,Pau Victor Delgado,es ESP,DL,22-109,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
109,Áron Yaakobishvili,hu HUN,PO,18-008,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
110,Total del equipo,,,26.7,28.0,308,2520.0,28.0,54.0,39.0,93.0,50.0,4.0,5.0,64.0,2.0,61.0,57.1,45.8,103.0,756.0,1402.0,1390.0,1.93,1.39,3.32,1.79,3.18,2.18,1.64,3.82,2.04,3.68,,
111,Total del oponente,,,27.6,28.0,308,2520.0,28.0,34.0,28.0,62.0,34.0,0.0,0.0,81.0,5.0,29.0,29.0,22.2,51.3,345.0,748.0,740.0,1.21,1.0,2.21,1.21,2.21,1.04,0.79,1.83,1.04,1.83,,
112,Jan Oblak,si SVN,PO,31-067,28.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
113,Axel Witsel,be BEL,DF,35-062,27.0,23,2133.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,17.0,71.0,7.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Partidos,
114,Mario Hermoso,es ESP,DF,28-270,23.0,23,2031.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.2,1.2,0.7,1.9,27.0,145.0,52.0,0.0,0.04,0.04,0.0,0.04,0.05,0.03,0.09,0.05,0.09,Partidos,
115,Antoine Griezmann,fr FRA,"DL,CC",32-359,24.0,23,1947.0,21.6,11.0,6.0,17.0,8.0,3.0,3.0,3.0,0.0,9.6,7.4,4.9,12.3,31.0,91.0,151.0,0.51,0.28,0.79,0.37,0.65,0.44,0.23,0.67,0.34,0.57,Partidos,
116,Koke,es ESP,CC,32-066,25.0,23,1670.0,18.6,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.8,2.1,19.0,144.0,20.0,0.0,0.16,0.16,0.0,0.16,0.02,0.1,0.11,0.02,0.11,Partidos,
117,Marcos Llorente,es ESP,"CC,DF",29-044,28.0,21,1868.0,20.8,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,2.9,2.9,4.3,7.3,52.0,80.0,130.0,0.29,0.14,0.43,0.29,0.43,0.14,0.21,0.35,0.14,0.35,Partidos,
118,Álvaro Morata,es ESP,DL,31-143,25.0,20,1665.0,18.5,14.0,1.0,15.0,14.0,0.0,1.0,4.0,1.0,12.1,11.3,0.7,11.9,15.0,18.0,78.0,0.76,0.05,0.81,0.76,0.81,0.65,0.04,0.69,0.61,0.65,Partidos,
119,Rodrigo De Paul,ar ARG,CC,29-295,25.0,18,1515.0,16.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,4.6,6.1,55.0,155.0,43.0,0.06,0.24,0.3,0.06,0.3,0.09,0.27,0.36,0.09,0.36,Partidos,
120,Samuel Lino,br BRA,DF,24-082,24.0,16,1412.0,15.7,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,3.4,6.1,94.0,57.0,156.0,0.19,0.13,0.32,0.19,0.32,0.17,0.22,0.39,0.17,0.39,Partidos,
121,Nahuel Molina,ar ARG,DF,25-343,25.0,15,1483.0,16.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,2.5,3.6,37.0,56.0,133.0,0.12,0.18,0.3,0.12,0.3,0.07,0.15,0.22,0.07,0.22,Partidos,
122,Stefan Savić,me MNE,DF,33-066,16.0,14,1179.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.1,0.4,13.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Partidos,
123,Saúl Ñíguez,es ESP,CC,29-114,27.0,13,1213.0,13.5,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,3.1,4.2,19.0,31.0,41.0,0.0,0.3,0.3,0.0,0.3,0.08,0.23,0.31,0.08,0.31,Partidos,
124,Pablo Barrios,es ESP,CC,20-273,17.0,12,1138.0,12.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.6,2.0,34.0,74.0,34.0,0.0,0.08,0.08,0.0,0.08,0.03,0.13,0.16,0.03,0.16,Partidos,
125,Rodrigo Riquelme,es ESP,"DF,CC",23-347,24.0,12,1054.0,11.7,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,2.2,2.2,2.7,4.9,69.0,40.0,119.0,0.17,0.34,0.51,0.17,0.51,0.18,0.23,0.42,0.18,0.42,Partidos,
126,César Azpilicueta,es ESP,DF,34-199,16.0,9,951.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,2.0,2.6,25.0,53.0,29.0,0.0,0.09,0.09,0.0,0.09,0.06,0.19,0.25,0.06,0.25,Partidos,
127,José María Giménez,uy URU,DF,29-054,16.0,8,786.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Partidos,
128,Memphis,nl NED,DL,30-030,18.0,8,732.0,8.1,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.5,5.5,1.6,7.2,14.0,22.0,69.0,0.61,0.12,0.74,0.61,0.74,0.68,0.2,0.88,0.68,0.88,Partidos,
129,Ángel Correa,ar ARG,"DL,CC",29-005,22.0,6,885.0,9.8,7.0,2.0,9.0,6.0,1.0,1.0,1.0,0.0,6.2,5.4,2.1,7.5,21.0,40.0,85.0,0.71,0.2,0.92,0.61,0.81,0.63,0.22,0.84,0.55,0.76,Partidos,
130,Reinildo Mandava,mz MOZ,DF,30-053,7.0,4,413.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,9.0,28.0,7.0,0.22,0.22,0.44,0.22,0.44,0.07,0.12,0.2,0.07,0.2,Partidos,
131,Gabriel Paulista,br BRA,DF,33-109,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Partidos,
132,Yannick Carrasco,be BEL,DF,30-192,3.0,3,221.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,9.0,6.0,17.0,0.0,0.41,0.41,0.0,0.41,0.03,0.1,0.12,0.03,0.12,Partidos,
133,Thomas Lemar,fr FRA,CC,28-123,3.0,3,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,Partidos,
134,Çağlar Söyüncü,tr TUR,DF,27-296,6.0,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
135,Arthur Vermeeren,be BEL,CC,19-036,3.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
136,Javi Galán,es ESP,DF,29-116,5.0,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Partidos,
137,Salim El Jebari,ma MAR,CC,20-038,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
138,Rayane Belaid,es ESP,DF,19-032,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
139,João Félix,pt POR,"DL,CC",24-125,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
140,Aitor Gismera,es ESP,CC,20-022,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
141,Antonio Gomis,es ESP,PO,20-299,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
142,Ivo Grbić,hr CRO,PO,28-056,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
143,Ilias Kostis,gr GRE,DF,21-016,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
144,Sergio Mestre,es ESP,PO,19-030,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
145,Horaţiu Moldovan,ro ROU,PO,26-054,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
146,Marco Moreno,es ESP,DF,23-023,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
147,Adrian Niño,es ESP,DL,19-269,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
148,Total del equipo,,,29.8,28.0,308,2520.0,28.0,53.0,38.0,91.0,49.0,4.0,5.0,63.0,3.0,49.2,45.4,37.4,82.8,575.0,1215.0,1201.0,1.89,1.36,3.25,1.75,3.11,1.76,1.33,3.09,1.62,2.96,,
149,Total del oponente,,,27.6,28.0,308,2520.0,28.0,31.0,22.0,53.0,30.0,1.0,2.0,54.0,2.0,29.6,28.0,21.5,49.5,488.0,1107.0,1087.0,1.11,0.79,1.89,1.07,1.86,1.06,0.77,1.82,1.0,1.77,,
150,Unai Simón,es ESP,PO,26-277,28.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
151,Daniel Vivian,es ESP,DF,24-243,25.0,25,2227.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.7,1.1,16.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Partidos,
152,Gorka Guruzeta,es ESP,DL,27-184,27.0,25,1861.0,20.7,11.0,3.0,14.0,11.0,0.0,1.0,2.0,0.0,9.6,8.8,1.6,10.3,13.0,47.0,86.0,0.53,0.15,0.68,0.53,0.68,0.46,0.08,0.54,0.42,0.5,Partidos,
153,Aitor Paredes,es ESP,DF,23-320,27.0,24,2131.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.1,1.2,5.0,79.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,Partidos,
154,Iñaki Williams,gh GHA,DL,29-273,25.0,24,2123.0,23.6,9.0,3.0,12.0,9.0,0.0,0.0,3.0,0.0,7.4,7.4,5.6,13.1,88.0,52.0,232.0,0.38,0.13,0.51,0.38,0.51,0.31,0.24,0.55,0.31,0.55,Partidos,
155,Oihan Sancet,es ESP,CC,23-324,26.0,21,1697.0,18.9,3.0,5.0,8.0,3.0,0.0,1.0,3.0,2.0,5.8,5.0,4.1,9.1,66.0,100.0,128.0,0.16,0.27,0.42,0.16,0.42,0.31,0.22,0.53,0.27,0.49,Partidos,
156,Nico Williams,es ESP,DL,21-246,23.0,21,1618.0,18.0,3.0,7.0,10.0,3.0,0.0,0.0,5.0,1.0,4.2,4.2,4.2,8.4,93.0,41.0,195.0,0.17,0.39,0.56,0.17,0.56,0.23,0.23,0.47,0.23,0.47,Partidos,
157,Iñigo Ruiz de Galarreta,es ESP,CC,30-221,22.0,20,1639.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.2,1.5,20.0,112.0,28.0,0.05,0.05,0.11,0.05,0.11,0.02,0.07,0.08,0.02,0.08,Partidos,
158,Óscar de Marcos,es ESP,DF,34-335,21.0,19,1662.0,18.5,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,2.7,3.3,38.0,106.0,79.0,0.05,0.22,0.27,0.05,0.27,0.03,0.15,0.18,0.03,0.18,Partidos,
159,Yuri Berchiche,es ESP,DF,34-033,21.0,17,1499.0,16.7,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.6,0.4,1.5,2.0,26.0,102.0,53.0,0.18,0.06,0.24,0.18,0.24,0.04,0.09,0.13,0.03,0.12,Partidos,
160,Iñigo Lekue,es ESP,DF,30-315,19.0,15,1351.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.0,33.0,82.0,27.0,0.0,0.13,0.13,0.0,0.13,0.01,0.06,0.07,0.01,0.07,Partidos,
161,Mikel Vesga,es ESP,CC,30-298,20.0,15,1251.0,13.9,3.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,2.6,1.1,1.2,2.3,7.0,75.0,21.0,0.22,0.07,0.29,0.07,0.14,0.19,0.09,0.28,0.08,0.16,Partidos,
162,Álex Berenguer,es ESP,DL,28-254,25.0,10,1111.0,12.3,6.0,2.0,8.0,5.0,1.0,1.0,4.0,0.0,4.6,3.9,2.6,6.4,46.0,21.0,98.0,0.49,0.16,0.65,0.41,0.57,0.38,0.21,0.59,0.31,0.52,Partidos,
163,Beñat Prados,es ESP,"CC,DF",23-035,18.0,9,883.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,10.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.09,0.04,0.09,Partidos,
164,Ander Herrera,es ESP,CC,34-213,17.0,8,788.0,8.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,8.0,66.0,11.0,0.0,0.23,0.23,0.0,0.23,0.04,0.13,0.17,0.04,0.17,Partidos,
165,Yeray Álvarez,es ESP,DF,29-050,11.0,7,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,5.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Partidos,
166,Dani García,es ESP,CC,33-295,12.0,5,524.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.0,0.8,2.0,25.0,3.0,0.17,0.0,0.17,0.17,0.17,0.14,0.0,0.14,0.14,0.14,Partidos,
167,Unai Gómez,es ESP,CC,20-294,19.0,5,506.0,5.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.3,1.6,14.0,14.0,23.0,0.36,0.0,0.36,0.36,0.36,0.24,0.05,0.29,0.24,0.29,Partidos,
168,Imanol,es ESP,DF,23-280,6.0,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,12.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Partidos,
169,Iker Muniain,es ESP,"CC,DL",31-086,14.0,3,395.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.2,1.6,13.0,27.0,33.0,0.23,0.0,0.23,0.23,0.23,0.32,0.05,0.37,0.32,0.37,Partidos,
170,Asier Villalibre,es ESP,DL,26-166,13.0,2,339.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,1.9,6.0,9.0,25.0,0.27,0.27,0.53,0.27,0.53,0.25,0.25,0.5,0.25,0.5,Partidos,
171,Adu Ares,es ESP,"DL,CC",22-154,9.0,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,7.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Partidos,
172,Raúl García,es ESP,"DL,CC",37-247,12.0,0,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.4,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Partidos,
173,Mikel Jauregizar,es ESP,CC,20-123,4.0,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Partidos,
174,Peru Nolaskoain,es ESP,"DF,CC",25-141,2.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
175,Julen Agirrezabala,es ESP,PO,23-079,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
176,Unai Eguíluz,es ESP,DF,21-361,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
177,Javi Martón,es ESP,DL,24-313,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
178,Aingeru Olabarrieta,es ESP,DL,18-121,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
179,Alex Padilla,es ESP,PO,20-195,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
180,Hugo Rincón,es ESP,DF,21-047,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,
181,Total del equipo,,,28.0,28.0,308,2520.0,28.0,46.0,32.0,78.0,43.0,3.0,5.0,63.0,3.0,42.8,38.8,29.5,68.4,529.0,1121.0,1114.0,1.64,1.14,2.79,1.54,2.68,1.53,1.06,2.58,1.39,2.44,,
182,Total del oponente,,,27.5,28.0,308,2520.0,28.0,24.0,20.0,44.0,24.0,0.0,1.0,61.0,2.0,27.7,27.0,22.4,49.4,375.0,926.0,913.0,0.86,0.71,1.57,0.86,1.57,0.99,0.8,1.79,0.96,1.76,,
183,Álex Remiro,es ESP,PO,28-356,27.0,27,2375.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,
184,Martín Zubimendi,es ESP,CC,25-041,27.0,25,2310.0,25.7,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.5,2.5,1.2,3.7,30.0,125.0,23.0,0.16,0.04,0.19,0.16,0.19,0.1,0.05,0.14,0.1,0.14,Partidos,
185,Igor Zubeldia,es ESP,DF,26-350,26.0,25,2163.0,24.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.7,0.7,1.1,1.7,26.0,119.0,0.0,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07,Partidos,
186,Brais Méndez,es ESP,"CC,DL",27-067,26.0,22,1979.0,22.0,4.0,4.0,8.0,4.0,0.0,0.0,6.0,0.0,3.5,3.5,2.8,6.4,36.0,99.0,106.0,0.18,0.18,0.36,0.18,0.36,0.16,0.13,0.29,0.16,0.29,Partidos,
187,Robin Le Normand,es ESP,DF,27-124,22.0,21,1848.0,20.5,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.9,0.9,0.1,1.0,20.0,86.0,1.0,0.1,0.0,0.1,0.1,0.1,0.04,0.01,0.05,0.04,0.05,Partidos,
188,Hamari Traoré,ml MLI,DF,32-047,23.0,20,1718.0,19.1,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.2,1.6,39.0,102.0,62.0,0.0,0.1,0.1,0.0,0.1,0.02,0.06,0.08,0.02,0.08,Partidos,
189,Takefusa Kubo,jp JPN,"DL,CC",22-284,21.0,19,1683.0,18.7,7.0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,3.4,3.4,4.6,8.0,109.0,65.0,182.0,0.37,0.16,0.53,0.37,0.53,0.18,0.25,0.43,0.18,0.43,Partidos,
190,Mikel Merino,es ESP,CC,27-266,23.0,18,1672.0,18.6,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,2.8,2.8,1.7,4.4,20.0,103.0,66.0,0.16,0.16,0.32,0.16,0.32,0.15,0.09,0.24,0.15,0.24,Partidos,
191,Mikel Oyarzabal,es ESP,"DL,CC",26-328,23.0,15,1449.0,16.1,8.0,1.0,9.0,6.0,2.0,2.0,2.0,0.0,7.6,6.0,1.1,7.2,20.0,28.0,81.0,0.5,0.06,0.56,0.37,0.43,0.48,0.07,0.55,0.38,0.45,Partidos,
192,Ander Barrenetxea,es ESP,"DL,CC",22-078,20.0,14,989.0,11.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.4,2.4,1.0,3.5,44.0,27.0,120.0,0.27,0.09,0.36,0.27,0.36,0.22,0.09,0.31,0.22,0.31,Partidos,
193,Beñat Turrientes,es ESP,CC,22-043,19.0,12,1067.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.5,1.4,18.0,35.0,22.0,0.0,0.08,0.08,0.0,0.08,0.07,0.04,0.12,0.07,0.12,Partidos,
194,Umar Sadiq,ng NGA,DL,27-041,25.0,12,1054.0,11.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.5,3.5,1.1,4.6,18.0,13.0,71.0,0.26,0.09,0.34,0.26,0.34,0.3,0.09,0.39,0.3,0.39,Partidos,
195,Aihen Muñoz,es ESP,DF,26-211,21.0,11,1127.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.0,2.2,24.0,39.0,23.0,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,Partidos,
196,Kieran Tierney,sct SCO,DF,26-283,13.0,11,915.0,10.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,20.0,54.0,32.0,0.0,0.2,0.2,0.0,0.2,0.02,0.06,0.07,0.02,0.07,Partidos,
197,Arsen Zakharyan,ru RUS,"CC,DL",20-293,19.0,10,773.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.2,2.2,21.0,25.0,72.0,0.0,0.12,0.12,0.0,0.12,0.11,0.14,0.25,0.11,0.25,Partidos,
198,Jon Pacheco,es ESP,DF,23-066,15.0,9,915.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.2,0.4,3.0,36.0,1.0,0.0,0.1,0.1,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Partidos,
199,André Silva,pt POR,DL,28-129,12.0,7,522.0,5.8,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.3,1.5,0.2,1.7,4.0,6.0,32.0,0.34,0.0,0.34,0.17,0.17,0.39,0.04,0.43,0.25,0.29,Partidos,
200,Javi Galán,es ESP,DF,29-116,7.0,6,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,24.0,30.0,59.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Partidos,
201,Carlos Fernández,es ESP,DL,27-297,10.0,5,408.0,4.5,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,0.5,1.3,5.0,4.0,13.0,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,Partidos,
