,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
548,Gonzalo Villar,es ESP,CC,25-357,15.8,624.0,762.0,81.9,10019.0,2635.0,344.0,379.0,90.8,209.0,253.0,82.6,53.0,85.0,62.4,3,1.3,1.4,1.7,9.0,55.0,7.0,1.0,55.0,Partidos
549,André Ferreira,pt POR,PO,27-290,14.9,359.0,498.0,72.1,10011.0,7247.0,72.0,74.0,97.3,172.0,176.0,97.7,112.0,243.0,46.1,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Partidos
550,Óscar Melendo,es ESP,"CC,DL",26-204,10.8,297.0,369.0,80.5,4874.0,1181.0,145.0,162.0,89.5,117.0,142.0,82.4,26.0,39.0,66.7,0,0.4,1.0,-0.4,9.0,31.0,10.0,0.0,37.0,Partidos
551,Raúl Torrente,es ESP,DF,22-185,11.5,509.0,641.0,79.4,10391.0,4083.0,169.0,183.0,92.3,275.0,308.0,89.3,63.0,145.0,43.4,0,0.4,0.2,-0.4,3.0,32.0,0.0,0.0,26.0,Partidos
552,Augusto Batalla,ar ARG,PO,27-319,9.0,249.0,382.0,65.2,6963.0,5043.0,54.0,54.0,100.0,116.0,117.0,99.1,79.0,209.0,37.8,0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,Partidos
553,Miguel Ángel Rubio,es ESP,DF,26-003,8.3,330.0,414.0,79.7,6392.0,2374.0,116.0,125.0,92.8,184.0,209.0,88.0,29.0,70.0,41.4,0,0.1,0.1,-0.1,1.0,9.0,2.0,0.0,12.0,Partidos
554,José Callejón,es ESP,"CC,DL",37-032,7.1,212.0,276.0,76.8,3737.0,1075.0,106.0,115.0,92.2,71.0,96.0,74.0,27.0,53.0,50.9,1,0.8,0.9,0.2,10.0,16.0,11.0,2.0,24.0,Partidos
555,Bruno Méndez,uy URU,DF,24-186,6.2,215.0,285.0,75.4,4033.0,1385.0,71.0,87.0,81.6,113.0,134.0,84.3,23.0,45.0,51.1,0,0.1,0.0,-0.1,1.0,10.0,0.0,0.0,12.0,Partidos
556,Antonio Puertas,es ESP,"CC,DL",32-022,7.0,139.0,193.0,72.0,2088.0,508.0,72.0,93.0,77.4,43.0,61.0,70.5,11.0,19.0,57.9,2,0.6,0.6,1.4,10.0,12.0,8.0,3.0,19.0,Partidos
557,Álvaro Carreras,es ESP,"CC,DL",20-357,5.3,169.0,222.0,76.1,2599.0,843.0,100.0,120.0,83.3,50.0,64.0,78.1,14.0,23.0,60.9,0,0.4,0.4,-0.4,7.0,10.0,8.0,3.0,14.0,Partidos
558,Facundo Pellistri,uy URU,"CC,DL",22-085,4.7,71.0,104.0,68.3,921.0,280.0,46.0,55.0,83.6,22.0,29.0,75.9,1.0,5.0,20.0,1,0.2,0.4,0.8,4.0,0.0,8.0,2.0,13.0,Partidos
559,Martin Hongla,cm CMR,"CC,DF",25-364,3.7,147.0,174.0,84.5,2940.0,708.0,52.0,56.0,92.9,70.0,80.0,87.5,24.0,34.0,70.6,0,0.0,0.1,0.0,0.0,11.0,1.0,0.0,6.0,Partidos
560,Raúl Fernández,es ESP,PO,36-001,3.1,69.0,107.0,64.5,2057.0,1530.0,9.0,9.0,100.0,38.0,40.0,95.0,22.0,56.0,39.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Partidos
561,Kamil Piątkowski,pl POL,DF,23-267,2.9,115.0,133.0,86.5,2101.0,645.0,45.0,46.0,97.8,62.0,65.0,95.4,7.0,17.0,41.2,0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,Partidos
562,Wilson Manafá,pt POR,"DF,CC",29-235,2.7,104.0,135.0,77.0,1756.0,547.0,52.0,57.0,91.2,41.0,52.0,78.8,9.0,18.0,50.0,0,0.3,0.2,-0.3,1.0,2.0,3.0,1.0,4.0,Partidos
563,Matias Arezo,uy URU,DL,21-114,2.3,23.0,36.0,63.9,345.0,100.0,13.0,19.0,68.4,7.0,11.0,63.6,2.0,3.0,66.7,0,0.1,0.1,-0.1,2.0,2.0,2.0,1.0,2.0,Partidos
564,Víctor Díaz,es ESP,"DF,CC",35-276,1.8,47.0,74.0,63.5,1009.0,359.0,12.0,15.0,80.0,28.0,32.0,87.5,7.0,20.0,35.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Partidos
565,Faitout Maouassa,fr FRA,"DF,CC",25-252,1.8,40.0,73.0,54.8,611.0,288.0,21.0,32.0,65.6,15.0,19.0,78.9,3.0,17.0,17.6,1,0.4,0.4,0.6,3.0,1.0,1.0,1.0,5.0,Partidos
566,Jesús Vallejo,es ESP,DF,27-069,1.2,78.0,85.0,91.8,1539.0,593.0,30.0,31.0,96.8,36.0,37.0,97.3,10.0,15.0,66.7,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Partidos
567,Kamil Jóźwiak,pl POL,CC,25-327,1.1,17.0,28.0,60.7,213.0,50.0,11.0,15.0,73.3,4.0,8.0,50.0,1.0,2.0,50.0,0,0.0,0.1,0.0,0.0,1.0,1.0,1.0,2.0,Partidos
568,Samuel Omorodion,es ESP,DL,19-314,0.9,10.0,15.0,66.7,178.0,6.0,3.0,5.0,60.0,4.0,4.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Partidos
569,Njegoš Petrović,rs SRB,"CC,DL",24-240,1.7,67.0,81.0,82.7,1037.0,304.0,36.0,41.0,87.8,26.0,29.0,89.7,4.0,8.0,50.0,0,0.1,0.1,-0.1,2.0,7.0,1.0,0.0,8.0,Partidos
570,Famara Diedhiou,sn SEN,"DL,CC",31-090,1.0,20.0,41.0,48.8,278.0,22.0,14.0,22.0,63.6,3.0,9.0,33.3,2.0,3.0,66.7,1,0.2,0.2,0.8,1.0,0.0,0.0,0.0,0.0,Partidos
571,Shon Weissman,il ISR,DL,28-029,0.9,10.0,13.0,76.9,161.0,38.0,3.0,4.0,75.0,4.0,5.0,80.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Partidos
572,Theo Corbeanu,ca CAN,CC,21-302,0.5,14.0,21.0,66.7,355.0,86.0,2.0,2.0,100.0,6.0,10.0,60.0,5.0,7.0,71.4,0,0.0,0.1,0.0,0.0,2.0,1.0,1.0,3.0,Partidos
573,Adri Bosch,es ESP,DF,22-279,0.3,11.0,14.0,78.6,211.0,61.0,6.0,7.0,85.7,2.0,2.0,100.0,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Partidos
574,Alberto Soro,es ESP,CC,25-005,0.1,3.0,3.0,100.0,21.0,9.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Partidos
575,Alberto Perea,es ESP,"CC,DL",33-086,0.0,6.0,7.0,85.7,77.0,29.0,5.0,5.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,2.0,Partidos
576,Total del equipo,,,27.4,27.0,8896.0,11611.0,76.6,163180.0,61791.0,3952.0,4483.0,88.2,3738.0,4431.0,84.4,1028.0,2092.0,49.1,23,22.7,22.1,0.3,209.0,568.0,184.0,70.0,732.0,
577,Total del oponente,,,27.8,27.0,11000.0,13739.0,80.1,193637.0,70735.0,5143.0,5716.0,90.0,4496.0,5213.0,86.2,1096.0,2073.0,52.9,40,30.9,27.5,9.1,264.0,932.0,221.0,54.0,1036.0,
578,Luís Maximiano,pt POR,PO,25-069,25.0,605.0,941.0,64.3,16856.0,12528.0,99.0,99.0,100.0,309.0,318.0,97.2,197.0,519.0,38.0,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Partidos
579,Édgar González,es ESP,"DF,CC",26-348,22.1,868.0,1023.0,84.8,16213.0,6372.0,306.0,339.0,90.3,469.0,519.0,90.4,79.0,137.0,57.7,0,0.2,0.2,-0.2,5.0,40.0,2.0,0.0,62.0,Partidos
580,Adri Embarba,es ESP,"DL,CC",31-312,19.1,430.0,675.0,63.7,6954.0,1934.0,229.0,272.0,84.2,134.0,200.0,67.0,45.0,124.0,36.3,0,3.0,2.5,-3.0,33.0,22.0,17.0,11.0,38.0,Partidos
581,Lucas Robertone,ar ARG,CC,26-362,18.6,756.0,970.0,77.9,13564.0,4151.0,352.0,399.0,88.2,287.0,347.0,82.7,98.0,174.0,56.3,5,2.3,1.8,2.7,29.0,85.0,15.0,7.0,98.0,Partidos
582,Dion Lopy,sn SEN,CC,22-041,19.1,657.0,786.0,83.6,12861.0,3085.0,234.0,274.0,85.4,311.0,352.0,88.4,95.0,120.0,79.2,0,1.1,0.7,-1.1,11.0,69.0,7.0,1.0,84.0,Partidos
583,Sergio Arribas,es ESP,"CC,DL",22-166,19.5,454.0,588.0,77.2,6368.0,1790.0,276.0,319.0,86.5,127.0,151.0,84.1,24.0,62.0,38.7,3,3.0,2.5,0.0,35.0,41.0,21.0,2.0,66.0,Partidos
584,Sergio Akieme,es ESP,DF,26-089,18.6,620.0,801.0,77.4,10224.0,3150.0,314.0,346.0,90.8,247.0,298.0,82.9,48.0,111.0,43.2,0,2.2,2.1,-2.2,17.0,30.0,14.0,12.0,28.0,Partidos
585,Juan Brandáriz,es ESP,DF,25-012,18.5,719.0,832.0,86.4,12836.0,4473.0,279.0,307.0,90.9,376.0,396.0,94.9,54.0,102.0,52.9,1,1.4,0.6,-0.4,4.0,36.0,3.0,1.0,50.0,Partidos
586,Iddrisu Baba,gh GHA,CC,28-052,15.3,530.0,639.0,82.9,9812.0,2650.0,201.0,239.0,84.1,265.0,300.0,88.3,52.0,67.0,77.6,0,0.6,0.4,-0.6,6.0,51.0,3.0,2.0,60.0,Partidos
587,Largie Ramazani,be BEL,"DL,CC",23-016,14.7,166.0,281.0,59.1,2681.0,1053.0,88.0,124.0,71.0,52.0,84.0,61.9,16.0,36.0,44.4,4,4.8,2.0,-0.8,20.0,22.0,13.0,1.0,32.0,Partidos
588,Léo Baptistão,br BRA,DL,31-201,13.6,205.0,346.0,59.2,2877.0,857.0,120.0,181.0,66.3,62.0,97.0,63.9,12.0,26.0,46.2,0,1.6,0.7,-1.6,12.0,13.0,6.0,1.0,33.0,Partidos
589,César Montes,mx MEX,DF,27-019,13.0,504.0,654.0,77.1,10607.0,3819.0,139.0,166.0,83.7,298.0,339.0,87.9,59.0,131.0,45.0,0,0.0,0.2,0.0,2.0,38.0,6.0,1.0,35.0,Partidos
590,Pubill,es ESP,DF,20-268,12.2,404.0,570.0,70.9,6375.0,2656.0,204.0,238.0,85.7,163.0,227.0,71.8,23.0,69.0,33.3,1,0.7,0.7,0.3,11.0,24.0,7.0,7.0,22.0,Partidos
591,Gonzalo Melero,es ESP,"CC,DL",30-072,10.3,310.0,378.0,82.0,4636.0,1273.0,171.0,199.0,85.9,115.0,130.0,88.5,14.0,22.0,63.6,1,1.2,0.9,-0.2,9.0,36.0,7.0,0.0,41.0,Partidos
592,Alejandro Pozo Pozo,es ESP,"DF,CC",25-021,9.4,383.0,520.0,73.7,6385.0,2570.0,204.0,234.0,87.2,134.0,182.0,73.6,35.0,70.0,50.0,0,0.6,0.8,-0.6,13.0,31.0,15.0,8.0,42.0,Partidos
593,Luis Javier Suárez,co COL,"DL,CC",26-103,8.0,114.0,149.0,76.5,2020.0,343.0,50.0,63.0,79.4,50.0,58.0,86.2,11.0,14.0,78.6,0,0.4,0.5,-0.4,5.0,10.0,2.0,1.0,14.0,Partidos
594,Álex Centelles,es ESP,DF,26-127,5.9,246.0,345.0,71.3,4344.0,1779.0,121.0,137.0,88.3,96.0,121.0,79.3,27.0,68.0,39.7,1,1.3,0.8,-0.3,8.0,18.0,8.0,7.0,13.0,Partidos
595,Kaiky,br BRA,DF,20-062,5.8,217.0,263.0,82.5,4550.0,1819.0,58.0,67.0,86.6,122.0,133.0,91.7,30.0,52.0,57.7,0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,24.0,Partidos
596,Aleksandar Radovanović,rs SRB,DF,30-124,4.8,122.0,131.0,93.1,2513.0,641.0,25.0,27.0,92.6,77.0,80.0,96.3,16.0,18.0,88.9,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,Partidos
597,Anthony Lozano,hn HON,DL,30-324,4.1,49.0,72.0,68.1,645.0,208.0,27.0,35.0,77.1,15.0,17.0,88.2,1.0,3.0,33.3,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,Partidos
598,Houboulang Mendes,gw GNB,DF,25-315,4.4,129.0,177.0,72.9,2191.0,1089.0,62.0,69.0,89.9,54.0,75.0,72.0,10.0,22.0,45.5,0,0.0,0.0,0.0,1.0,12.0,1.0,1.0,9.0,Partidos
599,Jonathan Viera,es ESP,CC,34-145,3.2,128.0,158.0,81.0,1644.0,380.0,81.0,91.0,89.0,29.0,41.0,70.7,6.0,10.0,60.0,2,0.9,0.3,1.1,6.0,9.0,4.0,1.0,11.0,Partidos
600,Bruno Langa,mz MOZ,DF,26-135,3.0,101.0,140.0,72.1,1669.0,1023.0,44.0,53.0,83.0,49.0,64.0,76.6,6.0,15.0,40.0,0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,9.0,Partidos
601,Arnau Puigmal,es ESP,"DL,DF",23-064,2.8,65.0,93.0,69.9,976.0,349.0,42.0,46.0,91.3,16.0,22.0,72.7,5.0,17.0,29.4,0,0.3,0.2,-0.3,3.0,6.0,4.0,1.0,8.0,Partidos
602,Luka Romero,ar ARG,DL,19-117,2.4,64.0,69.0,92.8,885.0,190.0,41.0,44.0,93.2,20.0,21.0,95.2,1.0,1.0,100.0,0,0.1,0.1,-0.1,2.0,1.0,1.0,1.0,7.0,Partidos
603,Lázaro,br BRA,"DL,CC",22-002,3.2,69.0,100.0,69.0,1137.0,308.0,35.0,47.0,74.5,24.0,29.0,82.8,6.0,13.0,46.2,0,0.5,0.3,-0.5,6.0,4.0,1.0,0.0,6.0,Partidos
604,Ibrahima Koné,ml MLI,DL,24-272,2.9,35.0,53.0,66.0,509.0,141.0,19.0,27.0,70.4,13.0,18.0,72.2,2.0,3.0,66.7,0,0.1,0.4,-0.1,2.0,0.0,0.0,0.0,3.0,Partidos
605,Fernando,es ESP,PO,33-278,2.0,54.0,84.0,64.3,1630.0,1246.0,6.0,6.0,100.0,27.0,27.0,100.0,21.0,50.0,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
606,Marko Milovanović,rs SRB,"DL,CC",20-223,2.6,34.0,51.0,66.7,346.0,57.0,22.0,31.0,71.0,8.0,13.0,61.5,0.0,1.0,0.0,0,0.1,0.1,-0.1,2.0,2.0,1.0,0.0,3.0,Partidos
607,Srđan Babić,rs SRB,DF,27-327,1.0,58.0,62.0,93.5,1267.0,388.0,13.0,13.0,100.0,37.0,41.0,90.2,8.0,8.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Partidos
608,Diego Mariño,es ESP,PO,33-310,1.0,23.0,27.0,85.2,429.0,237.0,11.0,11.0,100.0,10.0,10.0,100.0,2.0,6.0,33.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Partidos
609,Marciano Sanca,gw GNB,"DL,CC",20-011,0.5,14.0,24.0,58.3,162.0,52.0,12.0,16.0,75.0,2.0,4.0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Partidos
610,Rachad Fettal,ma MAR,DL,19-058,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Partidos
611,Total del equipo,,,26.1,28.0,9133.0,12002.0,76.1,166166.0,62611.0,3885.0,4519.0,86.0,3998.0,4714.0,84.8,1003.0,2073.0,48.4,18,26.4,19.1,-8.4,247.0,644.0,160.0,67.0,815.0,
612,Total del oponente,,,27.7,28.0,11094.0,13994.0,79.3,195151.0,73526.0,5207.0,5864.0,88.8,4482.0,5256.0,85.3,1106.0,2107.0,52.5,40,33.5,35.3,6.5,334.0,927.0,256.0,79.0,1183.0,
