,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
486,Carlos Dominguez,es ESP,DF,23-032,11.2,346.0,457.0,75.7,6285.0,2677.0,145.0,171.0,84.8,164.0,194.0,84.5,30.0,70.0,42.9,0,0.1,0.2,-0.1,3.0,41.0,2.0,0.0,32.0,Partidos
487,Iván Villar,es ESP,PO,26-249,9.3,160.0,264.0,60.6,4795.0,3659.0,23.0,23.0,100.0,82.0,82.0,100.0,55.0,157.0,35.0,0,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,0.0,Partidos
488,Mihailo Ristić,rs SRB,"DF,CC",28-135,8.5,335.0,471.0,71.1,5203.0,2216.0,182.0,209.0,87.1,126.0,159.0,79.2,19.0,66.0,28.8,0,0.1,0.5,-0.1,6.0,28.0,3.0,3.0,28.0,Partidos
489,Kevin Vázquez,es ESP,DF,30-357,7.0,234.0,315.0,74.3,3648.0,1529.0,125.0,146.0,85.6,95.0,118.0,80.5,12.0,28.0,42.9,0,0.2,0.4,-0.2,3.0,17.0,6.0,3.0,24.0,Partidos
490,Carlos Dotor,es ESP,CC,22-365,7.7,277.0,338.0,82.0,4058.0,959.0,163.0,181.0,90.1,87.0,108.0,80.6,14.0,23.0,60.9,0,0.1,0.3,-0.1,1.0,26.0,3.0,1.0,29.0,Partidos
491,Anastasios Douvikas,gr GRE,DL,24-225,7.5,79.0,127.0,62.2,957.0,148.0,50.0,72.0,69.4,18.0,31.0,58.1,3.0,5.0,60.0,0,0.2,0.2,-0.2,3.0,7.0,2.0,0.0,9.0,Partidos
492,Franco Cervi,ar ARG,"CC,DF",29-293,5.3,177.0,230.0,77.0,2730.0,1149.0,103.0,115.0,89.6,61.0,75.0,81.3,9.0,17.0,52.9,0,0.7,1.1,-0.7,7.0,16.0,4.0,0.0,22.0,Partidos
493,Javier Manquillo,es ESP,"DF,CC",29-314,4.6,144.0,194.0,74.2,2035.0,881.0,79.0,92.0,85.9,59.0,79.0,74.7,1.0,11.0,9.1,1,0.2,0.4,0.8,1.0,11.0,2.0,0.0,13.0,Partidos
494,Carles Pérez,es ESP,"CC,DL",26-027,4.9,94.0,128.0,73.4,1293.0,224.0,55.0,66.0,83.3,29.0,35.0,82.9,5.0,14.0,35.7,0,0.7,0.6,-0.7,8.0,5.0,5.0,1.0,8.0,Partidos
495,Joseph Aidoo,gh GHA,DF,28-167,4.5,145.0,185.0,78.4,2918.0,1187.0,41.0,46.0,89.1,84.0,102.0,82.4,19.0,35.0,54.3,0,0.1,0.0,-0.1,1.0,8.0,1.0,0.0,12.0,Partidos
496,Hugo Sotelo,es ESP,CC,20-086,3.7,239.0,279.0,85.7,3721.0,1005.0,143.0,149.0,96.0,79.0,91.0,86.8,16.0,30.0,53.3,0,0.4,0.3,-0.4,6.0,25.0,4.0,1.0,26.0,Partidos
497,Jailson Siqueira,br BRA,"CC,DF",28-189,3.4,66.0,96.0,68.8,992.0,408.0,32.0,41.0,78.0,25.0,33.0,75.8,4.0,12.0,33.3,1,0.4,0.1,0.6,1.0,7.0,1.0,1.0,11.0,Partidos
498,Tadeo Allende,ar ARG,"CC,DL",25-023,2.8,43.0,72.0,59.7,668.0,253.0,26.0,34.0,76.5,10.0,19.0,52.6,4.0,6.0,66.7,0,0.2,0.1,-0.2,1.0,4.0,2.0,1.0,7.0,Partidos
499,Miguel Rodríguez,es ESP,CC,20-320,2.1,50.0,73.0,68.5,597.0,169.0,34.0,40.0,85.0,8.0,18.0,44.4,1.0,5.0,20.0,0,0.2,0.1,-0.2,2.0,3.0,3.0,0.0,6.0,Partidos
500,Williot Swedberg,se SWE,"CC,DL",20-042,1.5,24.0,34.0,70.6,349.0,98.0,11.0,16.0,68.8,9.0,11.0,81.8,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Partidos
501,Hugo Álvarez,es ESP,CC,20-256,0.4,33.0,38.0,86.8,465.0,129.0,20.0,21.0,95.2,12.0,14.0,85.7,1.0,2.0,50.0,0,0.1,0.1,-0.1,1.0,3.0,2.0,1.0,3.0,Partidos
502,Gabriel Veiga,es ESP,DL,21-292,0.2,3.0,5.0,60.0,16.0,8.0,2.0,3.0,66.7,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
503,Total del equipo,,,27.5,28.0,9123.0,12116.0,75.3,156624.0,64507.0,4407.0,5106.0,86.3,3569.0,4343.0,82.2,870.0,1861.0,46.7,21,24.4,26.3,-3.4,260.0,746.0,191.0,52.0,916.0,
504,Total del oponente,,,27.8,28.0,12750.0,15826.0,80.6,223260.0,76683.0,5863.0,6557.0,89.4,5346.0,6212.0,86.1,1221.0,2253.0,54.2,25,27.1,28.9,-2.1,266.0,971.0,218.0,75.0,1172.0,
505,Rubén Alcaraz,es ESP,CC,32-318,24.8,839.0,1061.0,79.1,16118.0,4612.0,363.0,399.0,91.0,324.0,371.0,87.3,125.0,226.0,55.3,0,0.7,0.9,-0.7,15.0,102.0,9.0,1.0,102.0,Partidos
506,Jeremías Ledesma,ar ARG,PO,31-030,24.9,517.0,897.0,57.6,20159.0,17630.0,57.0,58.0,98.3,179.0,180.0,99.4,281.0,653.0,43.0,0,0.1,0.1,-0.1,1.0,41.0,0.0,0.0,0.0,Partidos
507,Isaac Carcelen,es ESP,DF,30-326,23.3,679.0,930.0,73.0,11529.0,4345.0,326.0,374.0,87.2,280.0,364.0,76.9,55.0,138.0,39.9,0,0.8,0.9,-0.8,13.0,48.0,14.0,7.0,66.0,Partidos
