,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
24,Álvaro Muñoz,uy URU,DL,19-244,0.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,100.0,0.0,0.0,1.0,28.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,Partidos
25,Total del equipo,,,28.0,28.0,21150.0,1726.0,5535.0,9895.0,5919.0,887.0,21146.0,665.0,297.0,44.7,293.0,44.1,13887.0,74037.0,40239.0,738.0,618.0,239.0,372.0,225.0,15950.0,1485.0,
26,Total del oponente,,,27.8,28.0,15364.0,2030.0,5493.0,6796.0,3224.0,404.0,15363.0,357.0,159.0,44.5,165.0,46.2,9489.0,49214.0,24612.0,424.0,330.0,87.0,375.0,243.0,10199.0,874.0,
27,Paulo Gazzaniga,ar ARG,PO,32-072,28.0,1100.0,929.0,1093.0,7.0,0.0,0.0,1100.0,4.0,4.0,100.0,0.0,0.0,684.0,3036.0,1836.0,0.0,0.0,0.0,2.0,1.0,602.0,0.0,Partidos
28,Aleix García,es ESP,CC,26-260,26.8,2416.0,125.0,587.0,1365.0,479.0,15.0,2416.0,18.0,11.0,61.1,4.0,22.2,1446.0,6934.0,3368.0,39.0,34.0,2.0,19.0,9.0,1766.0,34.0,Partidos
29,Miguel Gutiérrez,es ESP,"DF,CC",22-231,26.7,1770.0,95.0,517.0,770.0,500.0,42.0,1770.0,56.0,23.0,41.1,25.0,44.6,1056.0,5985.0,2687.0,65.0,58.0,12.0,43.0,24.0,1153.0,134.0,Partidos
30,Sávio,br BRA,"CC,DL",19-339,25.1,1126.0,13.0,127.0,363.0,664.0,110.0,1126.0,173.0,75.0,43.4,68.0,39.3,828.0,7353.0,3791.0,131.0,68.0,59.0,77.0,40.0,849.0,280.0,Partidos
31,Iván Martín,es ESP,"CC,DL",25-029,21.7,1338.0,40.0,241.0,732.0,378.0,41.0,1338.0,36.0,24.0,66.7,12.0,33.3,896.0,5722.0,2637.0,57.0,46.0,8.0,44.0,30.0,1070.0,72.0,Partidos
32,Daley Blind,nl NED,DF,34-005,23.0,1999.0,185.0,841.0,988.0,181.0,17.0,1999.0,17.0,11.0,64.7,6.0,35.3,1332.0,6272.0,3401.0,32.0,20.0,2.0,11.0,3.0,1507.0,15.0,Partidos
33,Artem Dovbyk,ua UKR,DL,26-267,19.3,420.0,18.0,32.0,146.0,243.0,119.0,417.0,17.0,12.0,70.6,5.0,29.4,253.0,948.0,286.0,8.0,6.0,6.0,35.0,31.0,338.0,78.0,Partidos
