,player,GP,90 s,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,goal per shot,shot mean dist,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,ball touch per 90,% dribble,% passes received,committed fouls per 90,received fouls per 90,interceptions per 90,loose balls recovered 90,% aerials duels won
124,Alex Baena,25.0,20.8,1869.0,0.1,0.43,5.3,2.5,0.96,0.04,20.2,70.5,85.3,74.5,52.5,6.6,14,36.4,1114.0,35.9,793.0,38,43,10,96.0,35.3
125,Daniel Parejo,23.0,20.9,1882.0,0.1,0.19,1.9,0.29,0.14,0.0,28.0,87.8,93.9,94.3,68.0,3.1,23,44.1,1505.0,56.5,1084.0,14,43,12,129.0,75.9
126,Étienne Capoue,26.0,14.7,1327.0,0.07,0.07,0.9,0.88,0.34,0.08,15.3,86.2,91.7,88.5,69.1,0.9,17,66.7,915.0,52.8,670.0,20,39,21,82.0,55.3
127,Alberto Moreno,22.0,13.1,1181.0,0.08,0.08,0.6,0.99,0.23,0.08,20.5,79.3,88.4,83.7,58.5,1.3,17,33.3,690.0,55.6,397.0,21,13,19,60.0,42.9
128,Santi Comesaña,19.0,12.5,1126.0,0.16,0.0,1.4,0.96,0.4,0.17,13.7,86.8,90.6,87.7,67.4,0.9,17,44.8,718.0,50.0,476.0,25,18,18,61.0,52.3
129,Ilias Akhomach,23.0,12.7,1139.0,0.08,0.16,2.1,1.5,0.32,0.05,19.1,75.9,86.1,72.8,44.4,1.6,19,64.3,560.0,43.8,406.0,32,26,9,53.0,30.0
130,Adrià Altimira,11.0,8.6,775.0,0.0,0.0,0.0,0.12,0.0,0.0,27.2,83.7,86.5,88.1,73.8,0.2,7,37.5,552.0,68.8,329.0,12,4,5,42.0,22.2
131,José Luis Morales,21.0,9.9,892.0,0.61,0.0,4.7,2.02,0.91,0.3,12.6,69.9,84.0,63.3,64.3,0.8,3,25.0,276.0,27.6,195.0,3,4,6,31.0,10.0
132,Yeremi Pino,7.0,5.3,475.0,0.0,0.0,1.4,1.71,0.76,0.0,12.5,80.1,85.3,87.5,64.7,0.5,18,50.0,261.0,52.9,166.0,22,9,5,29.0,44.4
133,Francis Coquelin,10.0,6.3,567.0,0.0,0.0,0.0,0.0,0.0,,,87.9,91.5,91.2,77.8,0.4,5,37.5,314.0,33.3,190.0,8,5,14,29.0,61.5
134,Ramón Terrats,14.0,6.9,618.0,0.0,0.15,0.3,1.02,0.15,0.0,21.9,79.8,89.0,88.1,42.4,0.7,6,12.5,389.0,45.0,280.0,13,13,3,29.0,50.0
135,Gonçalo Guedes,7.0,3.8,341.0,0.53,0.53,1.0,3.43,1.32,0.15,19.5,75.6,83.6,81.3,55.6,0.4,2,50.0,159.0,80.0,119.0,0,6,0,7.0,11.1
136,Ben Brereton,14.0,3.0,270.0,0.0,0.0,0.2,1.67,0.33,0.0,18.1,74.3,73.0,85.2,75.0,0.2,2,0.0,109.0,20.0,91.0,5,4,0,13.0,33.3
137,Bertrand Traoré,3.0,1.7,154.0,0.0,0.0,0.1,2.34,1.17,0.0,23.6,79.6,84.6,80.0,66.7,0.3,1,100.0,68.0,28.6,50.0,2,4,0,4.0,50.0
138,Manu Trigueros,11.0,2.3,211.0,0.0,0.0,0.5,2.13,1.28,0.0,18.0,81.7,84.6,90.7,75.0,0.2,4,50.0,136.0,0.0,98.0,4,2,2,9.0,80.0
139,Denis Suárez,4.0,1.5,133.0,0.0,0.0,0.1,0.68,0.0,0.0,11.5,84.0,88.4,89.5,62.5,0.6,0,0.0,114.0,50.0,79.0,4,2,0,8.0,0.0
140,Nemanja Maksimović,27.0,26.4,2377.0,0.15,0.0,3.8,1.1,0.49,0.14,12.1,80.3,86.9,79.2,54.3,1.3,33,57.1,1016.0,30.0,489.0,16,9,39,113.0,57.1
141,Djené,24.0,19.8,1780.0,0.0,0.0,0.1,0.2,0.0,0.0,28.5,75.7,85.4,80.5,53.3,0.5,12,55.6,931.0,73.9,457.0,43,26,16,123.0,55.1
142,Mason Greenwood,23.0,19.6,1762.0,0.31,0.26,5.2,3.22,1.02,0.06,21.0,71.1,83.9,75.3,51.6,2.7,2,20.0,870.0,51.3,689.0,30,22,3,85.0,23.5
143,Jaime Mata,25.0,14.1,1273.0,0.28,0.07,3.2,1.48,0.49,0.19,14.7,64.2,78.7,56.1,34.3,1.3,14,43.5,571.0,44.4,406.0,42,17,15,48.0,50.0
144,Luis Milla,17.0,15.0,1348.0,0.0,0.07,0.3,0.6,0.27,0.0,24.0,76.4,89.4,78.7,59.4,1.7,24,51.6,917.0,38.5,490.0,28,23,23,115.0,59.5
145,Carles Aleñá,22.0,9.5,851.0,0.11,0.11,1.1,1.48,0.53,0.07,18.7,76.1,86.5,78.8,62.0,0.9,6,37.5,441.0,18.2,286.0,15,15,3,43.0,35.7
146,Carmona,20.0,8.3,751.0,0.12,0.12,0.4,1.2,0.24,0.1,16.5,72.7,89.3,64.6,48.0,0.5,8,14.3,359.0,20.0,183.0,26,11,11,45.0,44.4
147,Jordi,9.0,5.3,473.0,0.0,0.0,1.3,1.33,0.57,0.0,12.9,59.8,76.9,55.9,31.3,0.4,10,53.8,276.0,33.3,168.0,15,5,7,29.0,34.6
148,Mauro Arambarri,7.0,3.8,339.0,0.0,0.0,0.5,2.39,0.53,0.0,21.7,80.3,87.3,85.7,72.0,0.1,2,16.7,188.0,33.3,104.0,18,3,2,27.0,38.5
149,Ilaix Moriba,5.0,2.6,238.0,0.0,0.0,0.0,0.0,0.0,,,75.3,78.0,85.7,71.4,0.1,1,40.0,110.0,60.0,63.0,9,10,3,9.0,57.1
150,Óscar Rodríguez Arnaiz,15.0,4.1,370.0,0.24,0.0,0.6,2.92,0.97,0.08,25.8,75.8,82.2,79.0,70.3,0.4,5,40.0,295.0,41.7,211.0,10,6,4,31.0,22.2
151,Jesús Santiago,5.0,1.9,173.0,0.0,0.0,0.0,0.0,0.0,,,70.0,82.1,66.7,50.0,0.1,1,33.3,61.0,0.0,37.0,6,1,0,8.0,50.0
152,Enes Ünal,3.0,1.6,140.0,0.0,0.64,0.1,0.64,0.0,0.0,18.5,68.6,72.7,66.7,50.0,0.4,0,,49.0,50.0,37.0,5,5,0,5.0,18.8
153,Fabrizio Angileri,8.0,1.1,101.0,0.0,0.0,0.0,0.0,0.0,,,62.1,74.1,63.6,41.7,0.2,0,0.0,78.0,33.3,40.0,0,1,2,11.0,50.0
154,Anthony Lozano,6.0,1.0,92.0,0.0,0.0,0.2,3.91,0.0,0.0,15.2,62.5,75.0,50.0,100.0,0.2,0,0.0,33.0,25.0,24.0,6,1,0,2.0,50.0
155,Ander Guevara,27.0,26.4,2379.0,0.04,0.0,0.7,0.61,0.08,0.06,23.2,75.9,83.5,78.2,61.6,1.3,26,48.1,1452.0,56.7,908.0,42,27,12,192.0,51.4
156,Luis Rioja,28.0,24.4,2194.0,0.16,0.16,5.0,1.85,0.49,0.02,21.6,64.6,80.5,69.4,42.6,4.1,18,40.6,995.0,57.4,640.0,21,18,16,117.0,33.3
157,Jon Guridi,27.0,22.4,2016.0,0.0,0.18,2.4,1.21,0.13,0.0,13.3,78.0,84.0,84.8,58.9,2.4,18,22.2,829.0,36.7,548.0,14,22,13,104.0,46.1
158,Antonio Blanco,25.0,19.5,1752.0,0.0,0.05,0.8,0.92,0.15,0.0,25.9,77.3,86.1,81.7,55.7,0.8,28,37.3,949.0,56.0,561.0,23,30,24,126.0,51.7
159,Alex Sola,23.0,11.7,1051.0,0.0,0.17,1.5,2.14,0.43,0.0,17.1,61.2,83.6,66.4,35.5,1.8,14,57.9,514.0,60.6,311.0,10,21,9,66.0,53.6
160,Kiké,25.0,11.2,1005.0,0.27,0.0,5.6,3.76,1.52,0.07,13.3,67.0,70.9,70.1,61.5,0.9,2,44.4,376.0,55.0,296.0,16,30,0,40.0,44.4
161,Abderrahman Rebbach,19.0,7.0,634.0,0.14,0.0,0.8,2.27,0.57,0.06,18.7,54.4,76.4,59.6,34.2,1.4,4,33.3,298.0,35.0,171.0,12,8,3,29.0,31.6
162,Ianis Hagi,17.0,6.4,579.0,0.0,0.16,2.6,3.11,0.78,0.0,20.0,62.9,80.7,63.0,50.0,1.5,8,30.0,306.0,45.5,199.0,7,17,2,16.0,50.0
163,Carlos Benavídez,21.0,7.4,670.0,0.13,0.13,0.5,0.94,0.4,0.14,20.9,68.9,81.3,71.3,46.9,0.3,19,57.9,387.0,50.0,167.0,26,6,14,44.0,51.0
164,Carlos Vicente,9.0,5.4,485.0,0.0,0.37,0.9,1.48,0.37,0.0,13.9,55.0,60.3,72.7,40.6,0.6,3,60.0,228.0,42.1,140.0,7,12,2,18.0,40.0
165,Xeber,9.0,3.0,273.0,0.0,0.0,0.4,1.65,0.0,0.0,16.4,68.1,89.4,72.7,37.5,0.5,4,33.3,124.0,42.9,77.0,9,0,1,16.0,33.3
166,Miguel,3.0,0.7,65.0,0.0,0.0,0.1,2.77,1.38,0.0,19.6,46.7,50.0,50.0,0.0,0.0,0,,22.0,,14.0,2,3,0,3.0,33.3
167,Mamadou Sylla,2.0,0.2,18.0,0.0,0.0,0.0,0.0,0.0,,,42.9,25.0,100.0,100.0,0.0,0,,13.0,0.0,8.0,1,2,0,1.0,50.0
168,Jon Karrikaburu,2.0,0.2,16.0,0.0,0.0,0.0,0.0,0.0,,,40.0,0.0,100.0,100.0,0.0,0,,8.0,,6.0,1,0,0,2.0,
169,Tomás Mendes,1.0,0.1,6.0,0.0,0.0,0.0,0.0,0.0,,,66.7,50.0,100.0,,0.0,0,,7.0,,5.0,0,0,0,2.0,
170,Unai Ropero,1.0,0.1,5.0,0.0,0.0,0.0,0.0,0.0,,,80.0,100.0,100.0,,0.0,0,,7.0,0.0,3.0,1,0,0,0.0,
171,Victor Parada,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1,100.0,2.0,,1.0,0,0,0,0.0,
172,Lucas Ocampos,,23.0,2072.0,0.17,0.09,4.2,2.22,0.87,0.06,16.0,64.2,76.6,64.8,40.7,2.7,29,53.3,1217.0,41.2,854.0,25,53,12,113.0,51.1
173,Djibril Sow,,16.1,1450.0,0.06,0.06,1.5,1.12,0.31,0.06,17.7,85.9,89.0,90.9,73.1,1.1,21,37.5,828.0,62.5,570.0,27,19,17,70.0,41.9
174,Boubakary Soumaré,,16.4,1477.0,0.0,0.0,0.0,0.06,0.0,0.0,19.6,89.8,91.1,93.4,81.0,0.3,19,46.7,1007.0,70.0,719.0,26,17,17,118.0,65.2
175,Ivan Rakitić,,15.8,1425.0,0.13,0.06,1.3,2.02,0.44,0.06,26.9,75.0,86.7,80.7,56.0,4.1,16,57.9,1251.0,40.0,797.0,16,19,14,117.0,48.0
176,Óliver Torres,,14.4,1295.0,0.0,0.07,0.4,0.49,0.21,0.0,19.7,81.1,90.7,83.7,51.1,2.4,16,38.0,858.0,50.0,590.0,22,21,5,106.0,31.3
177,Suso,,13.6,1220.0,0.07,0.22,1.2,1.77,0.44,0.04,24.8,76.4,89.8,77.8,58.6,4.5,13,35.7,884.0,60.5,647.0,16,27,4,68.0,42.9
178,Fernando,,5.1,459.0,0.0,0.0,0.0,0.2,0.0,0.0,16.2,86.4,91.6,89.9,75.0,0.3,8,55.6,288.0,66.7,186.0,6,3,7,35.0,55.6
179,Érik Lamela,,4.2,381.0,0.47,0.0,0.9,1.89,0.94,0.25,13.8,82.0,88.9,84.1,20.0,0.6,11,61.5,207.0,46.2,134.0,15,3,1,19.0,37.5
180,Joan Jordán,,3.9,347.0,0.0,0.0,0.2,1.3,0.26,0.0,24.0,86.7,91.5,90.9,82.6,0.1,6,42.9,252.0,100.0,156.0,1,3,4,19.0,57.1
181,Rafa Mir,,4.3,391.0,0.46,0.0,1.4,3.45,1.61,0.13,16.9,69.3,78.0,80.0,40.0,0.1,2,50.0,136.0,33.3,93.0,9,5,1,12.0,38.7
182,Lucien Agoume,,1.7,153.0,0.0,0.0,0.0,0.59,0.0,0.0,26.5,79.5,87.2,83.3,71.4,0.0,3,100.0,89.0,,45.0,2,0,2,13.0,75.0
183,Hannibal Mejbri,,1.0,91.0,0.0,0.0,0.0,0.99,0.0,0.0,24.9,84.6,91.7,76.9,100.0,0.0,2,0.0,54.0,50.0,39.0,3,2,0,5.0,0.0
184,Adnan Januzaj,,2.1,193.0,0.0,0.0,0.6,2.8,0.47,0.0,16.8,79.5,92.1,82.1,55.6,0.2,3,0.0,119.0,45.5,92.0,3,9,1,9.0,75.0
185,Manuel Sebastián,,0.2,21.0,0.0,0.0,0.0,0.0,0.0,,,86.7,85.7,100.0,75.0,0.0,0,100.0,20.0,,16.0,1,0,0,3.0,0.0
186,Jesús Corona,,0.2,17.0,0.0,0.0,0.0,0.0,0.0,,,64.3,85.7,50.0,0.0,0.0,0,,17.0,100.0,13.0,1,0,1,2.0,
187,Dani Rodríguez,27.0,22.1,1985.0,0.09,0.18,1.2,1.09,0.18,0.08,20.3,67.7,83.7,71.5,41.2,3.8,21,48.8,986.0,39.7,567.0,50,31,12,122.0,32.8
188,Samu Costa,27.0,20.9,1880.0,0.05,0.05,1.0,0.91,0.14,0.05,20.0,76.3,82.7,82.8,65.6,0.8,41,47.4,1151.0,52.2,631.0,55,42,30,141.0,64.5
189,Antonio Sánchez,21.0,12.7,1143.0,0.24,0.08,2.5,1.65,0.71,0.14,19.6,68.2,80.1,77.7,50.0,1.5,8,35.7,586.0,60.0,344.0,19,12,9,96.0,31.6
190,Sergi Darder,26.0,18.1,1628.0,0.0,0.17,1.1,1.05,0.28,0.0,21.7,71.0,88.2,77.8,49.1,3.8,21,38.1,900.0,51.1,562.0,15,29,15,106.0,41.2
191,Manu Morlanes,25.0,12.7,1143.0,0.0,0.08,0.8,0.79,0.24,0.0,16.2,81.7,86.9,88.0,70.5,1.6,20,43.2,659.0,88.9,413.0,12,17,11,90.0,55.2
192,Omar Mascarell,19.0,11.7,1051.0,0.0,0.0,0.2,0.34,0.0,0.0,20.8,81.2,85.8,87.9,66.3,0.2,13,50.0,615.0,83.3,332.0,25,10,23,67.0,57.8
193,Amath,15.0,4.4,394.0,0.0,0.0,1.6,2.74,0.46,0.0,14.1,67.3,76.4,63.2,75.0,0.3,6,20.0,198.0,32.0,130.0,10,7,3,21.0,54.5
194,Nemanja Radonjić,3.0,0.9,80.0,0.0,0.0,1.1,4.5,3.38,0.0,18.9,59.3,68.8,50.0,50.0,0.1,0,0.0,50.0,62.5,42.0,1,1,1,2.0,66.7
195,Javier Llabrés,14.0,1.9,173.0,0.52,0.0,0.6,3.12,1.04,0.17,16.2,66.2,78.6,65.4,50.0,0.2,0,100.0,103.0,80.0,60.0,5,0,1,11.0,40.0
196,Isaac Palazón Camacho,,23.2,2088.0,0.13,0.04,4.5,2.16,1.03,0.02,23.1,67.8,83.0,71.8,40.4,1.7,18,35.0,1231.0,39.1,824.0,24,55,15,110.0,32.9
197,Óscar Valentín,,23.0,2069.0,0.04,0.0,1.3,0.52,0.26,0.08,10.9,80.2,87.1,83.9,60.4,0.6,45,47.9,1231.0,50.0,696.0,53,31,25,126.0,40.6
198,Álvaro García,,21.9,1968.0,0.27,0.05,4.2,1.46,0.59,0.19,16.8,61.7,80.1,62.6,26.4,2.5,19,20.7,865.0,37.5,538.0,22,19,28,82.0,36.4
199,Unai López,,16.9,1523.0,0.06,0.12,0.9,1.24,0.24,0.05,26.7,82.3,94.0,87.1,55.2,2.0,16,39.5,1175.0,54.8,780.0,44,17,9,130.0,42.1
200,Óscar Trejo,,11.2,1006.0,0.0,0.0,0.7,1.07,0.18,0.0,19.2,81.9,89.5,82.7,55.6,1.0,12,64.7,727.0,34.3,549.0,31,23,4,65.0,40.9
201,Pathé Ciss,,13.4,1202.0,0.07,0.0,1.4,1.35,0.45,0.06,21.8,81.8,84.3,88.8,70.4,0.5,13,61.9,802.0,78.9,453.0,18,22,23,95.0,55.7
202,Kike Pérez,,9.1,819.0,0.11,0.0,1.9,1.43,0.55,0.08,18.7,75.7,90.6,73.6,57.1,0.7,11,50.0,487.0,20.7,333.0,42,32,8,54.0,28.6
203,Jorge de Frutos,,9.7,875.0,0.1,0.0,1.8,1.54,0.62,0.07,17.8,71.6,80.6,76.4,54.2,0.6,1,11.1,388.0,25.8,257.0,11,16,4,48.0,30.0
204,Pep Chavarría,,6.4,575.0,0.0,0.16,0.7,1.1,0.0,0.0,18.1,75.7,84.2,80.7,42.4,0.5,6,100.0,440.0,40.0,294.0,7,10,3,35.0,41.7
205,Randy Ntekja,,5.2,468.0,0.19,0.19,1.6,1.73,0.58,0.0,18.9,70.0,77.4,67.6,100.0,0.6,1,42.9,216.0,46.7,147.0,12,13,2,19.0,52.4
206,Crespo,,2.6,233.0,0.0,0.0,0.0,0.0,0.0,,,84.2,88.7,81.6,62.5,0.4,6,71.4,172.0,88.9,123.0,11,11,6,11.0,80.0
207,Bebé,,1.6,145.0,1.24,0.0,1.3,6.21,1.86,0.1,31.2,58.1,67.9,69.6,38.1,0.4,2,25.0,105.0,52.9,73.0,0,1,0,10.0,25.0
208,Salvi,,0.3,28.0,0.0,0.0,0.0,0.0,0.0,,,83.3,100.0,80.0,50.0,0.0,0,0.0,14.0,100.0,13.0,0,1,1,1.0,
209,José Pozo,,0.1,9.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,,0.0,0,,10.0,,8.0,0,1,0,0.0,
210,Diego Méndez,,0.1,5.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,,0.0,1,100.0,3.0,,0.0,1,0,1,1.0,100.0
211,Óscar Mingueza,,23.8,2143.0,0.08,0.08,2.2,0.97,0.46,0.09,19.3,71.3,86.6,71.8,43.9,4.4,26,44.3,1452.0,39.2,895.0,16,36,14,118.0,46.4
212,Luca de la Torre,,20.1,1813.0,0.05,0.2,1.9,1.04,0.35,0.05,16.2,80.4,89.7,85.6,50.0,1.4,19,51.3,871.0,31.0,602.0,37,18,11,105.0,24.5
213,Fran Beltrán,,17.9,1615.0,0.0,0.0,0.4,0.61,0.06,0.0,27.3,83.7,88.9,86.9,59.7,1.1,21,39.1,965.0,53.8,594.0,21,13,15,116.0,26.7
214,Jonathan Bamba,,17.3,1555.0,0.12,0.06,2.6,2.03,0.69,0.06,19.1,76.2,87.7,72.8,51.7,2.7,8,7.1,811.0,44.0,616.0,10,51,12,83.0,24.0
215,Renato Tapia,,13.6,1221.0,0.0,0.0,0.8,1.33,0.07,0.0,21.4,74.9,87.6,81.1,52.9,0.6,25,50.0,841.0,73.0,455.0,22,25,17,102.0,54.9
216,Mihailo Ristić,,8.5,763.0,0.0,0.0,0.3,1.06,0.47,0.0,23.2,71.1,87.1,79.2,28.8,0.5,9,75.0,575.0,27.3,295.0,10,14,9,63.0,56.3
217,Carlos Dotor,,7.7,692.0,0.0,0.0,0.2,0.52,0.0,0.0,22.9,82.0,90.1,80.6,60.9,0.3,7,30.8,401.0,100.0,272.0,14,10,4,47.0,38.5
218,Franco Cervi,,5.3,477.0,0.0,0.0,0.2,0.94,0.19,0.0,23.6,77.0,89.6,81.3,52.9,1.1,14,50.0,303.0,0.0,164.0,5,17,7,43.0,45.5
219,Javier Manquillo,,4.6,412.0,0.0,0.22,0.1,0.22,0.0,0.0,13.5,74.2,85.9,74.7,9.1,0.4,6,63.6,241.0,50.0,122.0,11,2,1,12.0,68.8
220,Carles Pérez,,4.9,441.0,0.0,0.0,0.5,2.24,0.2,0.0,22.0,73.4,83.3,82.9,35.7,0.6,3,44.4,201.0,44.4,147.0,15,8,4,21.0,22.2
221,Hugo Sotelo,,3.7,335.0,0.0,0.0,0.2,1.07,0.27,0.0,25.4,85.7,96.0,86.8,53.3,0.3,7,28.6,306.0,50.0,229.0,8,3,1,30.0,0.0
222,Jailson Siqueira,,3.4,308.0,0.0,0.29,0.0,0.29,0.29,0.0,28.5,68.8,78.0,75.8,33.3,0.1,5,75.0,156.0,62.5,64.0,7,7,8,26.0,27.8
223,Tadeo Allende,,2.8,248.0,0.36,0.0,0.6,2.18,0.36,0.17,21.0,59.7,76.5,52.6,66.7,0.1,1,75.0,107.0,33.3,72.0,2,3,2,16.0,55.6
224,Miguel Rodríguez,,2.1,190.0,0.0,0.0,0.1,1.89,0.0,0.0,26.7,68.5,85.0,44.4,20.0,0.1,2,33.3,106.0,25.0,74.0,9,6,2,7.0,11.1
225,Williot Swedberg,,1.5,133.0,2.03,0.0,1.4,3.38,2.03,0.6,13.1,70.6,68.8,81.8,100.0,0.0,3,60.0,63.0,71.4,35.0,1,5,0,8.0,66.7
226,Hugo Álvarez,,0.4,37.0,0.0,0.0,0.1,2.43,0.0,0.0,11.6,86.8,95.2,85.7,50.0,0.1,1,50.0,44.0,66.7,27.0,0,0,1,7.0,0.0
227,Rubén Alcaraz,26.0,24.8,2234.0,0.08,0.0,2.0,1.29,0.24,0.03,23.8,79.1,91.0,87.3,55.3,0.9,38,37.0,1344.0,40.0,748.0,64,50,26,160.0,50.0
228,Chris Ramos,28.0,22.0,1979.0,0.23,0.05,5.8,2.36,0.77,0.1,11.9,56.6,64.6,53.8,46.2,1.1,12,22.7,702.0,25.0,498.0,48,40,8,50.0,50.4
229,Iván Alejo,25.0,17.4,1563.0,0.0,0.12,0.5,0.58,0.12,0.0,22.3,50.7,70.7,46.9,40.2,2.5,17,30.2,623.0,36.4,375.0,46,43,4,78.0,50.0
230,Roberto Navarro,18.0,12.2,1098.0,0.0,0.08,1.2,1.23,0.25,0.0,17.4,66.1,86.1,60.0,33.3,1.4,20,44.4,575.0,43.7,349.0,12,20,11,76.0,39.1
231,Gonzalo Escalante,19.0,13.7,1229.0,0.0,0.15,0.7,0.59,0.07,0.0,19.1,73.8,82.3,77.6,53.7,1.1,18,41.0,628.0,40.0,337.0,26,11,19,71.0,51.1
232,Rubén Sobrino,23.0,12.3,1103.0,0.0,0.08,0.9,0.98,0.16,0.0,18.3,71.7,86.1,66.7,60.9,1.4,21,45.7,558.0,39.3,331.0,30,26,11,87.0,56.3
233,Darwin Machís,18.0,8.3,750.0,0.48,0.0,1.4,2.28,1.08,0.16,24.0,61.4,83.7,64.5,36.8,1.0,13,52.2,369.0,40.0,212.0,12,13,3,51.0,25.0
234,Álex Fernández,20.0,10.0,902.0,0.0,0.0,0.3,0.6,0.1,0.0,23.1,82.4,91.7,86.4,60.4,1.0,3,50.0,522.0,60.0,303.0,4,10,11,61.0,50.0
235,Rominigue Kouamé,14.0,7.6,686.0,0.0,0.0,0.1,0.39,0.0,0.0,24.5,86.9,87.0,89.7,89.7,0.2,8,46.2,403.0,66.7,225.0,11,9,13,53.0,63.6
236,Joseba Zaldúa,8.0,3.6,327.0,0.0,0.0,0.0,0.0,0.0,,,64.6,87.9,66.7,29.4,0.1,7,66.7,134.0,0.0,49.0,9,3,1,12.0,50.0
237,Fede San Emeterio,4.0,1.7,152.0,0.59,0.0,0.1,0.59,0.59,1.0,5.0,82.7,86.7,91.3,87.5,0.2,2,25.0,67.0,0.0,37.0,8,3,2,5.0,42.9
238,Sergi Guardiola,16.0,4.1,368.0,0.0,0.24,1.1,2.45,0.73,0.0,18.0,68.2,80.8,72.9,42.9,0.5,4,60.0,203.0,54.5,148.0,14,16,0,21.0,35.7
239,Brian Ocampo,9.0,1.5,139.0,0.0,0.0,0.2,1.94,0.65,0.0,22.0,66.7,77.1,80.0,66.7,0.1,1,50.0,107.0,30.0,75.0,6,8,1,17.0,25.0
240,Álvaro Negredo,7.0,0.6,54.0,0.0,0.0,0.1,5.0,1.67,0.0,29.1,45.5,50.0,100.0,25.0,0.1,0,,32.0,100.0,19.0,0,2,1,2.0,75.0
241,Diadie Samassékou,2.0,0.6,50.0,0.0,0.0,0.0,0.0,0.0,,,96.0,100.0,100.0,100.0,0.0,1,66.7,31.0,,14.0,0,0,2,4.0,75.0
242,José Mari,3.0,0.2,14.0,0.0,0.0,0.0,0.0,0.0,,,76.2,100.0,88.9,50.0,0.0,1,50.0,23.0,,16.0,1,1,0,3.0,
243,Milutin Osmajić,1.0,0.1,5.0,0.0,0.0,0.1,36.0,0.0,0.0,12.8,66.7,100.0,100.0,,0.0,0,,5.0,,5.0,0,0,0,0.0,100.0
244,Moussa Diakité,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0,,1.0,0.0,0.0,0,0,0,1.0,
245,Myrto Uzuni,,22.4,2017.0,0.4,0.04,9.9,2.01,0.8,0.13,17.4,76.9,85.3,80.0,60.0,2.5,11,20.0,435.0,46.2,261.0,23,14,3,51.0,16.4
246,Gerard Gumbau,,19.9,1789.0,0.0,0.15,1.0,1.36,0.35,0.0,28.8,73.1,86.7,83.2,52.0,2.9,19,29.4,1184.0,57.1,758.0,38,21,15,82.0,44.8
247,Sergio Ruiz,,19.2,1725.0,0.0,0.1,0.5,0.47,0.05,0.0,18.4,85.3,91.5,90.1,63.2,0.9,33,43.4,1130.0,45.5,773.0,29,51,18,125.0,55.8
248,Bryan Zaragoza,,18.2,1638.0,0.33,0.11,3.8,1.81,0.99,0.15,17.7,55.9,78.4,52.8,30.1,4.2,9,34.8,680.0,41.1,501.0,12,33,3,56.0,30.8
249,Gonzalo Villar,,15.8,1419.0,0.06,0.19,1.6,0.89,0.19,0.07,21.2,81.9,90.8,82.6,62.4,1.4,26,57.6,934.0,60.6,624.0,34,48,6,114.0,62.5
250,Óscar Melendo,,10.8,972.0,0.0,0.0,0.4,0.56,0.19,0.0,14.9,80.5,89.5,82.4,66.7,1.0,5,33.3,455.0,47.4,341.0,12,32,5,47.0,31.6
251,José Callejón,,7.1,637.0,0.0,0.14,1.0,1.41,0.57,0.0,14.2,76.8,92.2,74.0,50.9,0.9,4,37.5,337.0,28.6,212.0,9,17,1,41.0,46.7
252,Antonio Puertas,,7.0,631.0,0.0,0.29,2.3,2.28,0.57,0.0,15.1,72.0,77.4,70.5,57.9,0.6,7,38.5,284.0,50.0,199.0,19,8,5,24.0,38.7
253,Álvaro Carreras,,5.3,475.0,0.0,0.0,0.4,1.33,0.19,0.0,12.3,76.1,83.3,78.1,60.9,0.4,8,45.5,296.0,50.0,182.0,6,11,7,29.0,66.7
254,Facundo Pellistri,,4.7,423.0,0.21,0.21,1.3,1.49,0.64,0.14,11.9,68.3,83.6,75.9,20.0,0.4,6,60.0,165.0,33.3,101.0,2,6,3,17.0,50.0
255,Martin Hongla,,3.7,334.0,0.0,0.0,0.1,0.54,0.0,0.0,17.4,84.5,92.9,87.5,70.6,0.1,1,0.0,201.0,0.0,132.0,4,1,5,26.0,12.5
256,Wilson Manafá,,2.7,240.0,0.0,0.0,0.0,0.37,0.0,0.0,29.4,77.0,91.2,78.8,50.0,0.2,4,57.1,165.0,66.7,84.0,3,0,1,20.0,50.0
257,Víctor Díaz,,1.8,162.0,0.0,0.0,0.0,0.0,0.0,,,63.5,80.0,87.5,35.0,0.0,3,33.3,93.0,100.0,48.0,0,0,1,6.0,75.0
258,Faitout Maouassa,,1.8,160.0,0.0,0.56,0.1,2.25,0.0,0.0,19.4,54.8,65.6,78.9,17.6,0.4,5,80.0,97.0,50.0,47.0,2,3,1,6.0,100.0
259,Kamil Jóźwiak,,1.1,97.0,0.0,0.0,0.1,1.86,0.93,0.0,20.6,60.7,73.3,50.0,50.0,0.1,0,100.0,37.0,0.0,23.0,1,1,0,4.0,44.4
260,Njegoš Petrović,,1.7,157.0,0.0,0.0,0.0,1.15,0.57,0.0,31.9,82.7,87.8,89.7,50.0,0.1,2,66.7,108.0,60.0,69.0,0,1,1,11.0,66.7
261,Famara Diedhiou,,1.0,89.0,0.0,1.01,0.5,5.06,3.03,0.0,18.1,48.8,63.6,33.3,66.7,0.2,1,0.0,68.0,80.0,53.0,6,3,0,5.0,66.7
