,player,GP,90 s,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,goal per shot,shot mean dist,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,ball touch per 90,% dribble,% passes received,committed fouls per 90,received fouls per 90,interceptions per 90,loose balls recovered 90,% aerials duels won
30,Raphinha,20.0,10.1,906.0,0.4,0.6,5.4,4.17,1.59,0.1,18.4,74.9,83.3,81.6,57.5,4.1,5,23.1,626.0,48.6,445.0,11,21,7,57.0,69.2
31,Gavi,12.0,10.5,944.0,0.1,0.1,0.9,0.86,0.38,0.11,15.2,90.4,94.3,88.5,80.0,1.4,21,50.0,678.0,54.5,479.0,31,23,8,44.0,33.3
32,Oriol Romeu,21.0,8.4,756.0,0.0,0.12,0.7,1.19,0.24,0.0,23.6,89.1,93.6,91.4,66.0,0.8,17,61.1,767.0,75.0,585.0,14,10,9,48.0,44.8
33,Fermin López,21.0,8.9,800.0,0.23,0.0,3.6,3.04,1.58,0.07,14.6,82.2,92.4,79.5,64.7,0.7,13,32.0,491.0,62.5,352.0,26,12,2,42.0,29.4
34,Sergi Roberto,6.0,4.0,357.0,0.76,0.25,1.5,1.51,1.01,0.5,11.3,88.8,93.9,90.8,80.0,0.3,4,50.0,248.0,,183.0,2,1,2,22.0,28.6
35,Marc Guiu,3.0,0.8,74.0,1.22,0.0,0.8,4.86,1.22,0.25,12.1,100.0,100.0,100.0,,0.1,0,,20.0,,16.0,1,2,0,1.0,25.0
36,Abdessamad Ezzalzouli,2.0,0.8,68.0,0.0,0.0,0.2,5.29,1.32,0.0,19.1,62.2,78.3,50.0,25.0,0.0,1,0.0,54.0,50.0,43.0,1,3,0,2.0,33.3
37,Ansu Fati,3.0,0.6,50.0,0.0,0.0,0.7,12.6,1.8,0.0,18.6,85.7,100.0,77.8,100.0,0.1,0,0.0,42.0,33.3,35.0,0,4,0,2.0,50.0
38,Antoine Griezmann,24.0,21.6,1947.0,0.51,0.28,9.6,2.63,1.06,0.14,17.2,77.4,88.8,75.2,58.1,4.7,13,32.3,1237.0,62.9,892.0,10,17,9,71.0,27.3
39,Koke,25.0,18.6,1670.0,0.0,0.16,0.3,0.32,0.05,0.0,20.7,90.3,95.5,91.5,73.6,2.1,35,51.7,1764.0,33.3,1361.0,11,10,13,135.0,52.0
40,Marcos Llorente,28.0,20.8,1868.0,0.29,0.14,2.9,0.96,0.67,0.3,13.2,79.1,89.4,80.4,52.0,3.5,15,34.4,1056.0,36.4,749.0,23,19,10,88.0,34.3
41,Rodrigo De Paul,25.0,16.8,1515.0,0.06,0.24,1.5,1.31,0.53,0.05,19.3,83.8,92.0,85.0,70.8,5.1,18,38.7,1368.0,57.1,1064.0,18,45,9,120.0,80.0
42,Saúl Ñíguez,27.0,13.5,1213.0,0.0,0.3,1.1,0.96,0.22,0.0,15.0,80.0,87.5,81.4,50.0,2.0,34,65.1,845.0,53.3,542.0,33,12,13,65.0,60.9
43,Pablo Barrios,17.0,12.6,1138.0,0.0,0.08,0.4,0.71,0.4,0.0,23.0,83.0,87.5,87.6,69.1,0.8,18,46.9,817.0,79.5,581.0,15,17,22,78.0,50.0
44,Rodrigo Riquelme,24.0,11.7,1054.0,0.17,0.34,2.2,2.22,1.02,0.08,16.7,76.8,86.3,78.4,50.0,3.2,10,33.3,650.0,38.8,448.0,7,19,6,63.0,21.4
45,Ángel Correa,22.0,9.8,885.0,0.71,0.2,6.2,2.54,1.22,0.24,17.9,74.6,83.7,79.7,45.2,2.5,9,25.0,444.0,51.3,339.0,6,17,1,46.0,28.6
46,Thomas Lemar,3.0,1.8,164.0,0.0,0.0,0.2,1.1,0.0,0.0,23.0,84.5,89.1,86.2,33.3,0.1,1,50.0,99.0,50.0,83.0,3,2,0,5.0,0.0
47,Arthur Vermeeren,3.0,0.9,85.0,0.0,0.0,0.0,0.0,0.0,,,78.7,87.5,86.4,0.0,0.0,0,0.0,73.0,0.0,49.0,5,1,5,11.0,25.0
48,Salim El Jebari,1.0,0.1,13.0,0.0,0.0,0.0,0.0,0.0,,,75.0,100.0,0.0,,0.0,0,,9.0,,6.0,1,0,0,0.0,0.0
49,Oihan Sancet,26.0,18.9,1697.0,0.16,0.27,5.8,1.96,0.48,0.08,15.5,79.9,85.5,82.1,71.4,2.6,11,35.3,904.0,45.1,713.0,27,29,7,87.0,59.5
50,Iñigo Ruiz de Galarreta,22.0,18.2,1639.0,0.05,0.05,0.3,0.44,0.05,0.13,24.5,78.4,86.1,84.4,51.3,1.9,27,52.4,1058.0,64.0,686.0,43,31,10,113.0,50.0
51,Mikel Vesga,20.0,13.9,1251.0,0.22,0.07,2.6,1.08,0.36,0.07,20.5,77.0,85.1,82.8,58.0,1.1,13,34.9,816.0,18.2,510.0,25,3,25,94.0,49.1
52,Beñat Prados,18.0,9.8,883.0,0.0,0.0,0.4,0.51,0.41,0.0,15.2,82.1,90.1,81.6,55.6,0.6,16,45.5,561.0,58.3,335.0,21,17,11,69.0,45.5
53,Ander Herrera,17.0,8.8,788.0,0.0,0.23,0.4,1.03,0.23,0.0,22.5,84.3,89.7,85.9,62.0,1.6,27,56.7,659.0,50.0,430.0,16,10,14,63.0,34.5
54,Dani García,12.0,5.8,524.0,0.17,0.0,0.8,1.03,0.52,0.17,13.6,85.2,88.1,88.0,73.9,0.2,5,44.4,275.0,100.0,161.0,7,5,6,28.0,30.0
55,Unai Gómez,19.0,5.6,506.0,0.36,0.0,1.3,2.13,1.07,0.17,16.0,69.1,80.9,65.2,55.6,0.4,9,57.1,205.0,42.9,137.0,5,14,1,27.0,35.3
56,Iker Muniain,14.0,4.4,395.0,0.23,0.0,1.4,2.51,1.37,0.09,14.6,82.6,90.2,83.1,50.0,0.9,0,100.0,307.0,47.1,231.0,5,7,0,21.0,10.0
57,Adu Ares,9.0,1.7,156.0,0.0,0.0,0.1,1.73,0.0,0.0,21.1,71.4,84.4,71.4,42.9,0.0,4,66.7,92.0,64.3,68.0,3,8,1,9.0,0.0
58,Raúl García,12.0,2.2,196.0,0.0,0.0,0.4,2.3,0.0,0.0,16.2,52.5,55.2,50.0,75.0,0.0,3,40.0,93.0,50.0,68.0,12,6,2,10.0,61.9
59,Mikel Jauregizar,4.0,0.7,63.0,0.0,0.0,,2.86,0.0,0.0,,,,,,,0,,,,,2,1,0,,
60,Peru Nolaskoain,2.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,,,62.5,100.0,80.0,0.0,0.0,1,100.0,10.0,,5.0,0,0,0,1.0,100.0
61,Martín Zubimendi,27.0,25.7,2310.0,0.16,0.04,2.5,0.78,0.43,0.2,15.1,85.5,89.2,89.9,65.1,1.3,23,55.9,1554.0,68.8,1032.0,31,20,33,147.0,59.7
62,Brais Méndez,26.0,22.0,1979.0,0.18,0.18,3.5,2.41,0.55,0.08,20.5,74.6,83.4,83.0,43.0,3.9,23,31.6,1243.0,42.9,879.0,47,45,8,101.0,40.7
63,Takefusa Kubo,21.0,18.7,1683.0,0.37,0.16,3.4,2.3,0.96,0.16,17.5,70.8,86.0,71.1,46.2,5.1,14,37.5,880.0,47.2,627.0,15,42,9,76.0,35.0
64,Mikel Merino,23.0,18.6,1672.0,0.16,0.16,2.8,1.24,0.43,0.13,13.1,76.0,83.2,77.5,61.7,2.0,24,50.0,1166.0,53.1,785.0,51,44,9,139.0,60.5
65,Mikel Oyarzabal,23.0,16.1,1449.0,0.5,0.06,7.6,1.61,0.75,0.23,15.2,75.3,84.5,78.7,64.3,0.9,14,33.3,504.0,46.7,347.0,13,13,4,50.0,37.5
