,player,GP,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,interceptions per 90,loose balls recovered 90,% aerials duels won
64,Mikel Merino,23.0,1672,0.16,0.16,2.8,1.24,0.43,76.0,83.2,77.5,61.7,2.0,1.29,50.0,0.48,7.47,60.5
65,Mikel Oyarzabal,23.0,1449,0.5,0.06,7.6,1.61,0.75,75.3,84.5,78.7,64.3,0.9,0.87,33.3,0.25,3.11,37.5
66,Ander Barrenetxea,20.0,989,0.27,0.09,2.4,2.37,0.91,64.8,80.4,62.1,48.5,0.7,1.09,33.3,0.45,5.64,36.7
67,Beñat Turrientes,19.0,1067,0.0,0.08,0.8,1.35,0.59,81.7,89.7,90.2,54.1,0.5,1.09,45.5,0.25,4.37,31.7
68,Arsen Zakharyan,19.0,773,0.0,0.12,1.0,2.56,0.58,65.9,83.6,65.6,41.4,1.7,1.4,50.0,0.12,4.07,40.0
76,Isco,22.0,1846,0.29,0.15,6.7,2.39,1.02,79.3,90.4,83.9,54.5,5.4,0.93,35.7,0.39,4.73,26.2
77,Marc Roca,24.0,1816,0.1,0.1,1.1,0.99,0.35,83.0,90.0,86.8,59.1,1.7,1.68,57.1,0.79,6.93,28.6
78,Guido Rodríguez,16.0,1197,0.15,0.0,0.5,0.98,0.45,87.2,93.0,89.5,74.4,0.7,0.98,51.5,1.35,7.52,54.5
79,Rodri,20.0,865,0.0,0.0,1.0,1.66,0.42,80.4,90.8,80.7,56.1,1.8,0.83,42.1,0.73,4.58,0.0
87,José Luis García Vayá,27.0,2402,0.15,0.04,4.7,0.82,0.11,78.3,84.2,84.6,59.5,3.5,1.69,56.6,1.16,6.67,55.7
88,Francisco Perez,27.0,1759,0.05,0.2,1.0,0.87,0.1,74.7,83.0,74.1,48.4,1.9,0.87,36.6,0.56,4.87,16.7
89,Diego López,25.0,1732,0.16,0.26,2.4,1.3,0.62,62.8,70.1,67.7,55.8,2.0,0.78,22.2,0.57,4.27,42.2
90,Javier Guerra,25.0,1746,0.21,0.05,2.1,1.49,0.57,73.4,80.6,81.8,46.8,1.7,0.82,35.0,0.52,6.08,31.4
91,Dimitri Foulquier,23.0,1283,0.0,0.0,0.6,0.42,0.07,73.6,84.0,82.2,35.8,0.5,1.12,71.4,0.7,5.52,33.3
92,Mouctar Diakhaby,14.0,1073,0.08,0.0,0.7,0.59,0.25,87.0,95.0,92.5,56.6,0.1,0.92,84.6,0.92,5.63,65.8
93,Sergi Canós,18.0,769,0.12,0.23,0.8,2.57,1.05,62.3,75.0,75.7,31.0,0.9,0.94,38.5,0.82,5.18,69.2
94,Hugo Guillamón,20.0,1018,0.09,0.0,0.2,0.27,0.18,79.5,86.2,82.4,61.3,0.3,1.06,66.7,0.8,5.4,52.0
102,Kirian Rodríguez,27.0,2311,0.23,0.08,1.5,1.17,0.47,88.5,93.0,91.4,68.4,2.5,0.97,32.1,0.66,6.65,31.6
103,Javier Muñoz,27.0,2023,0.09,0.13,2.1,1.2,0.36,80.3,87.2,86.4,44.8,1.6,0.71,37.1,0.62,4.13,27.8
104,Máximo Perrone,23.0,1275,0.0,0.0,0.1,0.35,0.07,90.2,93.4,91.1,73.3,0.7,1.34,53.1,1.69,7.25,20.0
105,Enzo Loiodice,27.0,1375,0.0,0.0,0.5,0.92,0.39,81.5,88.5,85.8,54.1,1.3,1.63,37.5,0.72,6.08,52.2
106,Alberto Moleiro,18.0,1025,0.18,0.26,0.6,1.49,0.26,77.2,86.0,83.1,42.9,1.5,0.44,23.8,0.53,3.33,16.7
114,Aimar Oroz,28.0,2077,0.04,0.04,2.5,0.87,0.17,81.3,86.5,87.8,67.2,2.0,1.08,36.1,0.56,5.5,32.7
115,Moi Gómez,21.0,1536,0.12,0.0,1.3,0.76,0.35,80.5,88.7,86.5,59.0,1.2,0.99,39.1,0.53,5.85,40.9
116,Lucas Torró,20.0,1371,0.0,0.0,1.0,1.44,0.26,74.7,80.1,79.3,56.1,0.4,0.79,33.3,1.84,6.12,64.9
117,Jon Moncayola,24.0,1323,0.0,0.14,0.4,0.88,0.27,76.0,88.3,81.4,52.9,2.1,1.02,45.2,0.82,4.69,54.2
118,Iker Muñoz,18.0,1073,0.17,0.0,0.6,1.26,0.25,74.2,84.3,77.2,53.3,0.3,0.92,50.0,0.5,5.29,57.1
119,Ezequiel Ávila,17.0,864,0.1,0.31,2.0,2.81,0.62,62.5,77.0,63.6,54.1,2.7,0.21,27.3,0.42,3.85,33.3
120,Pablo Ibáñez,24.0,704,0.13,0.13,2.1,2.81,0.77,75.4,79.5,83.5,45.5,1.0,1.03,38.5,0.64,5.26,44.7
124,Alex Baena,25.0,1869,0.1,0.43,5.3,2.5,0.96,70.5,85.3,74.5,52.5,6.6,0.67,36.4,0.48,4.62,35.3
125,Daniel Parejo,23.0,1882,0.1,0.19,1.9,0.29,0.14,87.8,93.9,94.3,68.0,3.1,1.1,44.1,0.57,6.17,75.9
126,Étienne Capoue,26.0,1327,0.07,0.07,0.9,0.88,0.34,86.2,91.7,88.5,69.1,0.9,1.16,66.7,1.43,5.58,55.3
127,Alberto Moreno,22.0,1181,0.08,0.08,0.6,0.99,0.23,79.3,88.4,83.7,58.5,1.3,1.3,33.3,1.45,4.58,42.9
