,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
33,Artem Dovbyk,ua UKR,DL,26-264,19.3,3.0,2,2.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,6.0,0,3.0,15.0,0.0,Partidos
34,Eric García,es ESP,DF,23-062,19.6,30.0,21,17.0,10.0,3.0,18.0,27.0,66.7,9.0,20.0,12.0,8.0,22,52.0,51.0,2.0,Partidos
35,Viktor Tsyhankov,ua UKR,"CC,DL",26-117,17.9,26.0,17,9.0,12.0,5.0,13.0,24.0,54.2,11.0,13.0,1.0,12.0,10,36.0,20.0,0.0,Partidos
36,Yan Couto,br BRA,"DF,CC",21-282,19.1,35.0,24,19.0,11.0,5.0,16.0,33.0,48.5,17.0,12.0,2.0,10.0,6,41.0,27.0,1.0,Partidos
37,Yangel Herrera,ve VEN,CC,26-057,16.8,45.0,24,17.0,23.0,5.0,20.0,42.0,47.6,22.0,21.0,6.0,15.0,16,61.0,34.0,0.0,Partidos
38,David López,es ESP,"DF,CC",34-154,15.0,25.0,18,15.0,10.0,0.0,11.0,14.0,78.6,3.0,18.0,13.0,5.0,16,41.0,44.0,1.0,Partidos
39,Arnau Martinez,es ESP,DF,20-321,11.0,21.0,14,14.0,6.0,1.0,12.0,26.0,46.2,14.0,11.0,4.0,7.0,10,31.0,34.0,2.0,Partidos
40,Portu,es ESP,"CC,DL",31-295,8.9,14.0,10,1.0,9.0,4.0,3.0,13.0,23.1,10.0,7.0,1.0,6.0,1,15.0,3.0,0.0,Partidos
41,Cristhian Stuani,uy URU,DL,37-151,8.1,14.0,11,4.0,6.0,4.0,4.0,7.0,57.1,3.0,9.0,2.0,7.0,5,19.0,12.0,0.0,Partidos
42,Juanpe,es ESP,DF,32-316,6.7,6.0,4,5.0,1.0,0.0,5.0,6.0,83.3,1.0,15.0,11.0,4.0,6,12.0,40.0,1.0,Partidos
43,Pablo Torre,es ESP,"CC,DL",20-343,5.6,4.0,1,0.0,4.0,0.0,3.0,9.0,33.3,6.0,8.0,2.0,6.0,4,8.0,5.0,1.0,Partidos
44,Valery Fernández,es ESP,"CC,DF",24-109,5.0,9.0,7,4.0,5.0,0.0,4.0,6.0,66.7,2.0,6.0,1.0,5.0,1,10.0,3.0,0.0,Partidos
45,Jhon Solis,co COL,CC,19-160,2.8,6.0,4,2.0,3.0,1.0,2.0,7.0,28.6,5.0,7.0,3.0,4.0,4,10.0,5.0,0.0,Partidos
46,Antal Yaakobishvili,hu HUN,DF,19-243,0.7,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3,5.0,3.0,0.0,Partidos
47,Ibrahima Kebe,ml MLI,CC,23-222,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,Partidos
48,Bernardo Espinosa,co COL,DF,34-244,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0,Partidos
49,Silvi Clúa,es ESP,CC,19-042,0.0,2.0,0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,Partidos
50,Jastin García,es ESP,CC,20-056,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
51,Total del equipo,,,26.6,28.0,411.0,255,184.0,177.0,50.0,197.0,386.0,51.0,189.0,287.0,97.0,190.0,198,609.0,518.0,15.0,
52,Total del oponente,,,28.0,28.0,488.0,305,219.0,182.0,87.0,216.0,465.0,46.5,249.0,276.0,79.0,197.0,217,705.0,459.0,8.0,
53,İlkay Gündoğan,de GER,CC,33-139,25.3,20.0,13,9.0,10.0,1.0,7.0,24.0,29.2,17.0,16.0,2.0,14.0,18,38.0,13.0,0.0,Partidos
54,Robert Lewandowski,pl POL,DL,35-203,23.0,7.0,5,0.0,6.0,1.0,3.0,8.0,37.5,5.0,10.0,4.0,6.0,5,12.0,15.0,0.0,Partidos
55,Jules Koundé,fr FRA,DF,25-120,22.9,26.0,17,16.0,7.0,3.0,19.0,35.0,54.3,16.0,22.0,9.0,13.0,20,46.0,72.0,4.0,Partidos
56,João Cancelo,pt POR,DF,29-289,20.8,50.0,34,23.0,19.0,8.0,33.0,49.0,67.3,16.0,26.0,6.0,20.0,20,70.0,48.0,1.0,Partidos
57,Andreas Christensen,dk DEN,"DF,CC",27-336,17.5,16.0,10,7.0,9.0,0.0,11.0,19.0,57.9,8.0,15.0,5.0,10.0,17,33.0,36.0,0.0,Partidos
58,Frenkie de Jong,nl NED,CC,26-304,17.7,42.0,26,14.0,23.0,5.0,8.0,19.0,42.1,11.0,18.0,8.0,10.0,13,55.0,28.0,1.0,Partidos
59,Marc-André ter Stegen,de GER,PO,31-316,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,Partidos
60,Ronald Araújo,uy URU,DF,25-004,17.9,23.0,18,10.0,12.0,1.0,8.0,12.0,66.7,4.0,18.0,9.0,9.0,9,32.0,53.0,2.0,Partidos
61,João Félix,pt POR,DL,24-122,13.4,18.0,13,9.0,4.0,5.0,6.0,16.0,37.5,10.0,13.0,1.0,12.0,8,26.0,6.0,0.0,Partidos
62,Alejandro Balde,es ESP,DF,20-145,15.3,20.0,11,11.0,6.0,3.0,7.0,11.0,63.6,4.0,14.0,1.0,13.0,5,25.0,21.0,1.0,Partidos
63,Lamine Yamal,es ESP,DL,16-242,16.4,46.0,30,24.0,12.0,10.0,14.0,34.0,41.2,20.0,22.0,0.0,22.0,15,61.0,11.0,0.0,Partidos
64,Pedri,es ESP,"CC,DL",21-107,12.1,22.0,18,12.0,8.0,2.0,6.0,20.0,30.0,14.0,24.0,2.0,22.0,10,32.0,6.0,0.0,Partidos
65,Raphinha,br BRA,"DL,CC",27-088,10.1,11.0,5,4.0,6.0,1.0,3.0,13.0,23.1,10.0,11.0,0.0,11.0,7,18.0,6.0,0.0,Partidos
66,Gavi,es ESP,"CC,DL",19-219,10.5,39.0,21,20.0,14.0,5.0,18.0,36.0,50.0,18.0,19.0,3.0,16.0,8,47.0,16.0,1.0,Partidos
67,Ferrán Torres,es ESP,DL,24-011,10.4,7.0,5,1.0,4.0,2.0,5.0,14.0,35.7,9.0,5.0,0.0,5.0,3,10.0,4.0,0.0,Partidos
68,Iñaki Peña,es ESP,PO,25-009,10.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,5.0,1.0,Partidos
69,Oriol Romeu,es ESP,CC,32-169,8.4,26.0,17,14.0,11.0,1.0,11.0,18.0,61.1,7.0,9.0,2.0,7.0,9,35.0,15.0,0.0,Partidos
70,Iñigo Martínez,es ESP,DF,32-299,8.8,7.0,5,6.0,1.0,0.0,3.0,4.0,75.0,1.0,10.0,9.0,1.0,7,14.0,40.0,0.0,Partidos
71,Pau Cubarsí,es ESP,DF,17-049,8.1,17.0,10,15.0,2.0,0.0,9.0,10.0,90.0,1.0,9.0,7.0,2.0,7,24.0,30.0,0.0,Partidos
72,Fermin López,es ESP,"CC,DL",20-305,8.9,24.0,13,9.0,11.0,4.0,8.0,25.0,32.0,17.0,8.0,0.0,8.0,2,26.0,5.0,0.0,Partidos
73,Sergi Roberto,es ESP,"CC,DF",32-033,4.0,5.0,4,1.0,4.0,0.0,2.0,4.0,50.0,2.0,1.0,1.0,0.0,2,7.0,1.0,0.0,Partidos
74,Marcos Alonso,es ESP,DF,33-074,1.8,5.0,3,2.0,3.0,0.0,3.0,4.0,75.0,1.0,2.0,0.0,2.0,4,9.0,3.0,0.0,Partidos
75,Vitor Roque,br BRA,DL,19-012,2.2,2.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0,2.0,4.0,0.0,Partidos
76,Héctor Fort,es ESP,DF,17-222,1.1,2.0,1,2.0,0.0,0.0,2.0,5.0,40.0,3.0,0.0,0.0,0.0,2,4.0,1.0,0.0,Partidos
77,Marc Guiu,es ESP,"DL,CC",18-067,0.8,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Partidos
78,Abdessamad Ezzalzouli,ma MAR,"DL,CC",22-085,0.8,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,Partidos
79,Eric García,es ESP,DF,23-062,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,Partidos
80,Ansu Fati,es ESP,"CC,DL",21-132,0.6,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
81,Total del equipo,,,26.6,28.0,437.0,281,210.0,173.0,54.0,186.0,384.0,48.4,198.0,277.0,70.0,207.0,191,628.0,442.0,12.0,
82,Total del oponente,,,27.6,28.0,463.0,282,242.0,157.0,64.0,236.0,530.0,44.5,294.0,337.0,125.0,212.0,247,710.0,589.0,5.0,
83,Jan Oblak,si SVN,PO,31-064,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,Partidos
84,Axel Witsel,be BEL,DF,35-059,23.7,26.0,15,16.0,10.0,0.0,12.0,18.0,66.7,6.0,35.0,21.0,14.0,11,37.0,90.0,0.0,Partidos
85,Mario Hermoso,es ESP,DF,28-267,22.6,38.0,21,22.0,13.0,3.0,22.0,42.0,52.4,20.0,23.0,8.0,15.0,24,62.0,74.0,0.0,Partidos
86,Antoine Griezmann,fr FRA,"DL,CC",32-356,21.6,24.0,13,7.0,12.0,5.0,10.0,31.0,32.3,21.0,24.0,2.0,22.0,9,33.0,16.0,0.0,Partidos
87,Koke,es ESP,CC,32-063,18.6,50.0,35,21.0,23.0,6.0,30.0,58.0,51.7,28.0,25.0,9.0,16.0,13,63.0,19.0,1.0,Partidos
88,Marcos Llorente,es ESP,"CC,DF",29-041,20.8,25.0,15,13.0,9.0,3.0,11.0,32.0,34.4,21.0,27.0,9.0,18.0,10,35.0,27.0,0.0,Partidos
89,Álvaro Morata,es ESP,DL,31-140,18.5,11.0,6,2.0,5.0,4.0,2.0,2.0,100.0,0.0,16.0,3.0,13.0,1,12.0,23.0,0.0,Partidos
90,Rodrigo De Paul,ar ARG,CC,29-292,16.8,26.0,18,8.0,12.0,6.0,12.0,31.0,38.7,19.0,21.0,1.0,20.0,9,35.0,14.0,1.0,Partidos
91,Samuel Lino,br BRA,DF,24-079,15.7,45.0,25,27.0,10.0,8.0,29.0,47.0,61.7,18.0,25.0,0.0,25.0,10,55.0,21.0,0.0,Partidos
