,Jugador,País,Posc,Edad,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
356,Victor Parada,es ESP,"DL,CC",21-345,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
357,Total del equipo,,,26.4,28.0,23,349,93,26.6,12.46,3.32,0.06,0.22,17.6,14.0,3,5,34.1,30.1,0.09,-11.1,-10.1,
358,Total del oponente,,,28.1,28.0,31,320,101,31.6,11.43,3.61,0.08,0.24,17.9,12.0,7,7,33.0,27.5,0.09,-2.0,-3.5,
359,Lucas Ocampos,ar ARG,"DL,CC",29-247,23.0,4,51,20,39.2,2.22,0.87,0.06,0.15,16.0,0.0,1,1,4.2,3.4,0.07,-0.2,-0.4,Partidos
360,Loïc Bade,fr FRA,DF,23-338,18.0,0,12,3,25.0,0.67,0.17,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Partidos
361,Youssef En-Nesyri,ma MAR,DL,26-287,19.0,9,48,21,43.8,2.53,1.11,0.19,0.43,11.4,0.0,0,0,6.4,6.4,0.13,2.6,2.6,Partidos
362,Sergio Ramos,es ESP,DF,37-350,18.0,2,19,8,42.1,1.06,0.45,0.11,0.25,16.3,3.0,0,0,1.1,1.1,0.06,0.9,0.9,Partidos
363,Djibril Sow,ch SUI,CC,27-037,16.1,1,18,5,27.8,1.12,0.31,0.06,0.2,17.7,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5,Partidos
364,Jesús Navas,es ESP,DF,38-114,16.0,0,5,1,20.0,0.31,0.06,0.0,0.0,24.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Partidos
365,Boubakary Soumaré,fr FRA,CC,25-016,16.4,0,1,0,0.0,0.06,0.0,0.0,,19.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
366,Ivan Rakitić,hr CRO,CC,36-004,15.8,2,32,7,21.9,2.02,0.44,0.06,0.29,26.9,3.0,0,0,1.3,1.3,0.04,0.7,0.7,Partidos
367,Nemanja Gudelj,rs SRB,DF,32-119,15.5,1,19,3,15.8,1.22,0.19,0.05,0.33,24.1,4.0,0,0,0.8,0.8,0.04,0.2,0.2,Partidos
368,Óliver Torres,es ESP,CC,29-125,14.4,0,7,3,42.9,0.49,0.21,0.0,0.0,19.7,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
369,Ørjan Nyland,no NOR,PO,33-186,14.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
370,Adrià Pedrosa,es ESP,DF,25-306,16.4,1,13,2,15.4,0.79,0.12,0.08,0.5,23.0,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Partidos
371,Suso,es ESP,"CC,DL",30-116,13.6,1,24,6,25.0,1.77,0.44,0.04,0.17,24.8,1.0,0,0,1.2,1.2,0.05,-0.2,-0.2,Partidos
372,Marko Dmitrović,rs SRB,PO,32-050,13.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
373,Kike Salas,es ESP,DF,21-326,10.1,2,11,4,36.4,1.09,0.4,0.18,0.5,10.6,0.0,0,0,0.6,0.6,0.06,1.4,1.4,Partidos
374,Marcos Acuña,ar ARG,DF,32-138,8.1,0,7,3,42.9,0.86,0.37,0.0,0.0,31.2,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
375,Juanlu Sánchez,es ESP,DF,20-212,11.3,0,10,1,10.0,0.88,0.09,0.0,0.0,20.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Partidos
376,Dodi Lukebakio,be BEL,DL,26-172,8.4,3,26,9,34.6,3.08,1.07,0.12,0.33,14.7,1.0,0,0,2.8,2.8,0.11,0.2,0.2,Partidos
377,Isaac Bernal,es ESP,DL,23-301,7.7,3,27,13,48.1,3.52,1.69,0.11,0.23,,,0,0,,,,,,Partidos
378,Fernando,br BRA,CC,36-233,5.1,0,1,0,0.0,0.2,0.0,0.0,,16.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
379,Érik Lamela,ar ARG,"DL,CC",32-010,4.2,2,8,4,50.0,1.89,0.94,0.25,0.5,13.8,0.0,0,0,0.9,0.9,0.11,1.1,1.1,Partidos
380,Joan Jordán,es ESP,CC,29-252,3.9,0,5,1,20.0,1.3,0.26,0.0,0.0,24.0,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
381,Rafa Mir,es ESP,"DL,CC",26-270,4.3,2,15,7,46.7,3.45,1.61,0.13,0.29,16.9,0.0,0,0,1.4,1.4,0.1,0.6,0.6,Partidos
382,Marcão,br BRA,DF,27-283,3.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
383,Mariano,do DOM,DL,30-226,2.4,0,10,1,10.0,4.11,0.41,0.0,0.0,13.9,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,Partidos
