,Jugador,País,Posc,Edad,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
444,José Pozo,es ESP,"CC,DL",27-365,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
445,Diego Méndez,es ESP,CC,20-198,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
446,Total del equipo,,,30.3,28.0,23,333,114,34.2,11.89,4.07,0.05,0.15,20.7,28.0,6,6,31.8,27.1,0.08,-8.8,-10.1,
447,Total del oponente,,,27.7,28.0,36,338,124,36.7,12.07,4.43,0.1,0.28,17.0,8.0,1,2,35.8,34.2,0.1,0.2,0.8,
448,Jørgen Strand Larsen,no NOR,DL,24-037,24.7,9,61,24,39.3,2.47,0.97,0.15,0.38,11.8,0.0,0,0,9.3,9.3,0.15,-0.3,-0.3,Partidos
449,Unai Núñez,es ESP,DF,27-044,27.5,1,20,5,25.0,0.73,0.18,0.05,0.2,14.6,1.0,0,0,1.3,1.3,0.07,-0.3,-0.3,Partidos
450,Óscar Mingueza,es ESP,"DF,CC",24-306,23.8,2,23,11,47.8,0.97,0.46,0.09,0.18,19.3,0.0,0,0,2.2,2.2,0.1,-0.2,-0.2,Partidos
451,Iago Aspas,es ESP,DL,36-226,20.9,5,57,17,29.8,2.73,0.81,0.07,0.24,20.1,6.0,1,3,7.4,5.0,0.09,-2.4,-1.0,Partidos
452,Luca de la Torre,us USA,CC,25-296,20.1,1,21,7,33.3,1.04,0.35,0.05,0.14,16.2,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9,Partidos
453,Carl Starfelt,se SWE,DF,28-287,19.9,1,12,5,41.7,0.6,0.25,0.08,0.2,8.5,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,Partidos
454,Fran Beltrán,es ESP,CC,25-040,17.9,0,11,1,9.1,0.61,0.06,0.0,0.0,27.3,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Partidos
455,Jonathan Bamba,ci CIV,"CC,DL",27-354,17.3,2,35,12,34.3,2.03,0.69,0.06,0.17,19.1,0.0,0,0,2.6,2.6,0.08,-0.6,-0.6,Partidos
456,Vicente Guaita,es ESP,PO,37-064,18.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
457,Manu Sánchez,es ESP,DF,23-203,17.6,0,9,1,11.1,0.51,0.06,0.0,0.0,18.6,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Partidos
458,Renato Tapia,pe PER,"CC,DF",28-230,13.6,0,18,1,5.6,1.33,0.07,0.0,0.0,21.4,2.0,0,0,0.8,0.8,0.04,-0.8,-0.8,Partidos
459,Carlos Dominguez,es ESP,DF,23-032,11.2,0,3,0,0.0,0.27,0.0,0.0,,18.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
460,Iván Villar,es ESP,PO,26-249,9.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
461,Mihailo Ristić,rs SRB,"DF,CC",28-135,8.5,0,9,4,44.4,1.06,0.47,0.0,0.0,23.2,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Partidos
462,Kevin Vázquez,es ESP,DF,30-357,7.0,0,2,1,50.0,0.29,0.14,0.0,0.0,20.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
463,Carlos Dotor,es ESP,CC,22-365,7.7,0,4,0,0.0,0.52,0.0,0.0,,22.9,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
464,Anastasios Douvikas,gr GRE,DL,24-225,7.5,4,19,11,57.9,2.54,1.47,0.21,0.36,14.1,0.0,0,0,3.2,3.2,0.17,0.8,0.8,Partidos
465,Franco Cervi,ar ARG,"CC,DF",29-293,5.3,0,5,1,20.0,0.94,0.19,0.0,0.0,23.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
466,Javier Manquillo,es ESP,"DF,CC",29-314,4.6,0,1,0,0.0,0.22,0.0,0.0,,13.5,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1,Partidos
467,Carles Pérez,es ESP,"CC,DL",26-027,4.9,0,11,1,9.1,2.24,0.2,0.0,0.0,22.0,2.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Partidos
468,Joseph Aidoo,gh GHA,DF,28-167,4.5,0,3,0,0.0,0.66,0.0,0.0,,15.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
469,Hugo Sotelo,es ESP,CC,20-086,3.7,0,4,1,25.0,1.07,0.27,0.0,0.0,25.4,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
470,Jailson Siqueira,br BRA,"CC,DF",28-189,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,28.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
471,Tadeo Allende,ar ARG,"CC,DL",25-023,2.8,1,6,1,16.7,2.18,0.36,0.17,1.0,21.0,0.0,0,0,0.6,0.6,0.1,0.4,0.4,Partidos
472,Miguel Rodríguez,es ESP,CC,20-320,2.1,0,4,0,0.0,1.89,0.0,0.0,,26.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
473,Williot Swedberg,se SWE,"CC,DL",20-042,1.5,3,5,3,60.0,3.38,2.03,0.6,1.0,13.1,0.0,0,0,1.4,1.4,0.28,1.6,1.6,Partidos
474,Hugo Álvarez,es ESP,CC,20-256,0.4,0,1,0,0.0,2.43,0.0,0.0,,11.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Partidos
475,Gabriel Veiga,es ESP,DL,21-292,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
476,Total del equipo,,,27.5,28.0,29,345,108,31.3,12.32,3.86,0.08,0.26,17.7,13.0,1,3,34.3,32.1,0.09,-5.3,-4.1,
477,Total del oponente,,,27.8,28.0,41,351,120,34.2,12.54,4.29,0.1,0.3,16.5,11.0,5,6,41.6,36.9,0.11,-0.6,-0.9,
478,Rubén Alcaraz,es ESP,CC,32-318,24.8,2,32,6,18.8,1.29,0.24,0.03,0.17,23.8,7.0,1,1,2.0,1.3,0.04,0.0,-0.3,Partidos
479,Jeremías Ledesma,ar ARG,PO,31-030,24.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
480,Isaac Carcelen,es ESP,DF,30-326,23.3,0,7,2,28.6,0.3,0.09,0.0,0.0,20.4,1.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Partidos
481,Chris Ramos,es ESP,"DL,CC",27-056,22.0,5,52,17,32.7,2.36,0.77,0.1,0.29,11.9,0.0,0,0,5.8,5.8,0.11,-0.8,-0.8,Partidos
482,Fali,es ESP,DF,30-215,21.6,0,8,2,25.0,0.37,0.09,0.0,0.0,17.9,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Partidos
483,Javi Hernández,es ESP,DF,25-317,19.5,1,20,5,25.0,1.02,0.26,0.05,0.2,22.9,5.0,0,0,1.0,1.0,0.05,0.0,0.0,Partidos
484,Iván Alejo,es ESP,CC,29-033,17.4,0,10,2,20.0,0.58,0.12,0.0,0.0,22.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Partidos
485,Roberto Navarro,es ESP,CC,21-337,12.2,0,15,3,20.0,1.23,0.25,0.0,0.0,17.4,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,Partidos
486,Roger Martí,es ESP,DL,33-071,11.6,2,22,9,40.9,1.89,0.78,0.09,0.22,15.6,0.0,0,0,2.2,2.2,0.1,-0.2,-0.2,Partidos
487,Gonzalo Escalante,ar ARG,CC,30-353,13.7,0,8,1,12.5,0.59,0.07,0.0,0.0,19.1,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,Partidos
488,Víctor Chust,es ESP,DF,24-009,12.0,0,2,0,0.0,0.17,0.0,0.0,,10.8,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
489,Lucas,br BRA,DF,22-356,13.9,1,9,3,33.3,0.65,0.22,0.11,0.33,21.5,3.0,0,0,0.7,0.7,0.08,0.3,0.3,Partidos
490,Rubén Sobrino,es ESP,"CC,DL",31-287,12.3,0,12,2,16.7,0.98,0.16,0.0,0.0,18.3,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,Partidos
491,Maxi Gómez,uy URU,DL,27-213,10.6,0,13,6,46.2,1.23,0.57,0.0,0.0,15.2,1.0,0,0,1.5,1.5,0.11,-1.5,-1.5,Partidos
492,Darwin Machís,ve VEN,CC,31-036,8.3,4,19,9,47.4,2.28,1.08,0.16,0.33,24.0,1.0,1,1,1.4,0.6,0.03,2.6,2.4,Partidos
493,Álex Fernández,es ESP,"CC,DL",31-151,10.0,0,6,1,16.7,0.6,0.1,0.0,0.0,23.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Partidos
494,Luis Hernández,es ESP,DF,34-335,8.0,1,1,1,100.0,0.12,0.12,1.0,1.0,2.2,0.0,0,0,1.0,1.0,0.95,0.0,0.0,Partidos
495,Jorge Meré,es ESP,DF,26-332,7.5,0,4,1,25.0,0.53,0.13,0.0,0.0,18.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
496,Rominigue Kouamé,ml MLI,CC,27-088,7.6,0,3,0,0.0,0.39,0.0,0.0,,24.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
497,Juanmi,es ESP,DL,30-299,4.2,3,9,5,55.6,2.14,1.19,0.33,0.6,12.4,0.0,0,0,2.2,2.2,0.24,0.8,0.8,Partidos
498,Joseba Zaldúa,es ESP,"DF,CC",31-264,3.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
499,David Gil,es ESP,PO,30-063,3.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
500,Fede San Emeterio,es ESP,CC,26-364,1.7,1,1,1,100.0,0.59,0.59,1.0,1.0,5.0,0.0,0,0,0.1,0.1,0.06,0.9,0.9,Partidos
501,Mamadou Mbaye,sn SEN,DF,25-260,3.2,0,2,1,50.0,0.62,0.31,0.0,0.0,7.9,0.0,0,0,0.3,0.3,0.17,-0.3,-0.3,Partidos
502,Sergi Guardiola,es ESP,"DL,CC",32-290,4.1,0,10,3,30.0,2.45,0.73,0.0,0.0,18.0,0.0,0,0,1.1,1.1,0.11,-1.1,-1.1,Partidos
503,Aiham Ousou,sy SYR,DF,24-065,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
504,Brian Ocampo,uy URU,CC,24-263,1.5,0,3,1,33.3,1.94,0.65,0.0,0.0,22.0,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Partidos
505,Álvaro Negredo,es ESP,"DL,CC",38-207,0.6,0,3,1,33.3,5.0,1.67,0.0,0.0,29.1,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
506,Diadie Samassékou,ml MLI,CC,28-063,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
507,Karl Etta,cm CMR,DL,20-073,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
508,José Mari,es ESP,"CC,DL",36-099,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
509,Milutin Osmajić,me MNE,CC,24-233,0.1,0,2,0,0.0,36.0,0.0,0.0,,12.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
510,Moussa Diakité,ml MLI,CC,20-131,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
511,Total del equipo,,,29.2,28.0,20,273,82,30.0,9.75,2.93,0.07,0.22,18.2,19.0,2,2,24.3,22.8,0.08,-4.3,-4.8,
512,Total del oponente,,,28.1,28.0,38,374,128,34.2,13.36,4.57,0.1,0.28,18.2,22.0,2,2,38.5,37.0,0.1,-0.5,-1.0,
513,Carlos Neva,es ESP,DF,27-276,25.0,0,3,0,0.0,0.12,0.0,0.0,,20.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
514,Ignasi Miquel,es ESP,DF,31-168,25.2,1,20,8,40.0,0.79,0.32,0.05,0.13,11.8,0.0,0,0,1.3,1.3,0.07,-0.3,-0.3,Partidos
515,Myrto Uzuni,al ALB,"DL,CC",28-288,22.4,9,45,18,40.0,2.01,0.8,0.13,0.33,17.4,2.0,3,4,9.9,6.8,0.15,-0.9,-0.8,Partidos
516,Ricard Sánchez,es ESP,DF,24-021,21.9,3,11,4,36.4,0.5,0.18,0.27,0.75,20.5,0.0,0,0,0.5,0.5,0.04,2.5,2.5,Partidos
517,Gerard Gumbau,es ESP,CC,29-087,19.9,0,27,7,25.9,1.36,0.35,0.0,0.0,28.8,5.0,0,0,1.0,1.0,0.04,-1.0,-1.0,Partidos
518,Sergio Ruiz,es ESP,CC,29-089,19.2,0,9,1,11.1,0.47,0.05,0.0,0.0,18.4,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Partidos
519,Lucas Boyé,ar ARG,DL,28-015,17.6,3,34,9,26.5,1.93,0.51,0.09,0.33,12.3,0.0,0,0,3.5,3.5,0.1,-0.5,-0.5,Partidos
520,Bryan Zaragoza,es ESP,"CC,DL",22-324,18.2,6,33,18,54.5,1.81,0.99,0.15,0.28,17.7,1.0,1,1,3.8,3.0,0.09,2.2,2.0,Partidos
521,Gonzalo Villar,es ESP,CC,25-357,15.8,1,14,3,21.4,0.89,0.19,0.07,0.33,21.2,0.0,0,0,1.6,1.6,0.12,-0.6,-0.6,Partidos
522,André Ferreira,pt POR,PO,27-290,14.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
523,Óscar Melendo,es ESP,"CC,DL",26-204,10.8,0,6,2,33.3,0.56,0.19,0.0,0.0,14.9,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Partidos
524,Raúl Torrente,es ESP,DF,22-185,11.5,0,3,0,0.0,0.26,0.0,0.0,,14.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
525,Augusto Batalla,ar ARG,PO,27-319,9.0,0,1,0,0.0,0.11,0.0,0.0,,13.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
526,Miguel Ángel Rubio,es ESP,DF,26-003,8.3,1,4,2,50.0,0.48,0.24,0.25,0.5,9.6,0.0,0,0,0.5,0.5,0.13,0.5,0.5,Partidos
527,José Callejón,es ESP,"CC,DL",37-032,7.1,0,10,4,40.0,1.41,0.57,0.0,0.0,14.2,1.0,0,0,1.0,1.0,0.1,-1.0,-1.0,Partidos
528,Bruno Méndez,uy URU,DF,24-186,6.2,1,5,2,40.0,0.81,0.32,0.2,0.5,13.8,0.0,0,0,0.3,0.3,0.07,0.7,0.7,Partidos
529,Antonio Puertas,es ESP,"CC,DL",32-022,7.0,0,16,4,25.0,2.28,0.57,0.0,0.0,15.1,0.0,0,1,2.3,1.6,0.1,-2.3,-1.6,Partidos
530,Álvaro Carreras,es ESP,"CC,DL",20-357,5.3,0,7,1,14.3,1.33,0.19,0.0,0.0,12.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
531,Facundo Pellistri,uy URU,"CC,DL",22-085,4.7,1,7,3,42.9,1.49,0.64,0.14,0.33,11.9,0.0,0,0,1.3,1.3,0.19,-0.3,-0.3,Partidos
532,Martin Hongla,cm CMR,"CC,DF",25-364,3.7,0,2,0,0.0,0.54,0.0,0.0,,17.4,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Partidos
533,Raúl Fernández,es ESP,PO,36-001,3.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
534,Kamil Piątkowski,pl POL,DF,23-267,2.9,0,3,2,66.7,1.03,0.69,0.0,0.0,7.8,0.0,0,0,0.7,0.7,0.25,-0.7,-0.7,Partidos
535,Wilson Manafá,pt POR,"DF,CC",29-235,2.7,0,1,0,0.0,0.37,0.0,0.0,,29.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
536,Matias Arezo,uy URU,DL,21-114,2.3,0,7,2,28.6,3.0,0.86,0.0,0.0,17.8,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Partidos
537,Víctor Díaz,es ESP,"DF,CC",35-276,1.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
538,Faitout Maouassa,fr FRA,"DF,CC",25-252,1.8,0,4,0,0.0,2.25,0.0,0.0,,19.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
539,Jesús Vallejo,es ESP,DF,27-069,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
540,Kamil Jóźwiak,pl POL,CC,25-327,1.1,0,2,1,50.0,1.86,0.93,0.0,0.0,20.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
541,Samuel Omorodion,es ESP,DL,19-314,0.9,1,3,2,66.7,3.38,2.25,0.33,0.5,8.6,0.0,0,0,0.7,0.7,0.23,0.3,0.3,Partidos
542,Njegoš Petrović,rs SRB,"CC,DL",24-240,1.7,0,2,1,50.0,1.15,0.57,0.0,0.0,31.9,1.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
543,Famara Diedhiou,sn SEN,"DL,CC",31-090,1.0,0,5,3,60.0,5.06,3.03,0.0,0.0,18.1,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5,Partidos
544,Shon Weissman,il ISR,DL,28-029,0.9,0,1,0,0.0,1.1,0.0,0.0,,13.1,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
545,Theo Corbeanu,ca CAN,CC,21-302,0.5,1,3,2,66.7,5.63,3.75,0.33,0.5,22.6,1.0,0,0,0.3,0.3,0.09,0.7,0.7,Partidos
546,Adri Bosch,es ESP,DF,22-279,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
547,Alberto Soro,es ESP,CC,25-005,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
548,Alberto Perea,es ESP,"CC,DL",33-086,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
549,Total del equipo,,,27.4,27.0,28,288,99,34.4,10.67,3.67,0.08,0.24,17.2,11.0,4,6,31.5,26.8,0.09,-3.5,-2.8,
550,Total del oponente,,,27.8,27.0,55,351,140,39.9,13.0,5.19,0.15,0.37,17.9,13.0,3,4,46.2,43.0,0.13,8.8,9.0,
551,Luís Maximiano,pt POR,PO,25-069,25.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
552,Édgar González,es ESP,"DF,CC",26-348,22.1,2,12,3,25.0,0.54,0.14,0.17,0.67,10.3,0.0,0,0,2.2,2.2,0.19,-0.2,-0.2,Partidos
553,Adri Embarba,es ESP,"DL,CC",31-312,19.1,1,40,15,37.5,2.09,0.79,0.03,0.07,25.4,9.0,0,0,2.2,2.2,0.06,-1.2,-1.2,Partidos
554,Lucas Robertone,ar ARG,CC,26-362,18.6,0,30,10,33.3,1.61,0.54,0.0,0.0,28.0,3.0,0,0,0.8,0.8,0.03,-0.8,-0.8,Partidos
555,Dion Lopy,sn SEN,CC,22-041,19.1,0,18,5,27.8,0.94,0.26,0.0,0.0,26.0,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0,Partidos
556,Sergio Arribas,es ESP,"CC,DL",22-166,19.5,6,51,17,33.3,2.62,0.87,0.12,0.35,17.0,1.0,0,0,7.0,7.0,0.14,-1.0,-1.0,Partidos
557,Sergio Akieme,es ESP,DF,26-089,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0.0,0,0,1.2,1.2,0.13,0.8,0.8,Partidos
558,Juan Brandáriz,es ESP,DF,25-012,18.5,0,2,0,0.0,0.11,0.0,0.0,,24.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
559,Iddrisu Baba,gh GHA,CC,28-052,15.3,0,8,2,25.0,0.52,0.13,0.0,0.0,25.6,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,Partidos
560,Largie Ramazani,be BEL,"DL,CC",23-016,14.7,3,34,11,32.4,2.31,0.75,0.09,0.27,17.5,1.0,0,0,4.0,4.0,0.12,-1.0,-1.0,Partidos
561,Léo Baptistão,br BRA,DL,31-201,13.6,4,33,11,33.3,2.42,0.81,0.12,0.36,17.5,0.0,0,0,3.7,3.7,0.11,0.3,0.3,Partidos
562,César Montes,mx MEX,DF,27-019,13.0,0,8,1,12.5,0.62,0.08,0.0,0.0,11.0,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Partidos
563,Pubill,es ESP,DF,20-268,12.2,1,11,2,18.2,0.9,0.16,0.09,0.5,21.3,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Partidos
564,Gonzalo Melero,es ESP,"CC,DL",30-072,10.3,0,12,3,25.0,1.16,0.29,0.0,0.0,11.2,0.0,0,0,1.7,1.7,0.15,-1.7,-1.7,Partidos
565,Alejandro Pozo Pozo,es ESP,"DF,CC",25-021,9.4,0,4,3,75.0,0.43,0.32,0.0,0.0,23.3,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Partidos
566,Luis Javier Suárez,co COL,"DL,CC",26-103,8.0,4,31,11,35.5,3.89,1.38,0.1,0.27,14.3,0.0,1,1,5.5,4.7,0.15,-1.5,-1.7,Partidos
567,Álex Centelles,es ESP,DF,26-127,5.9,0,2,1,50.0,0.34,0.17,0.0,0.0,21.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
568,Kaiky,br BRA,DF,20-062,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,11.4,0.0,0,0,0.2,0.2,0.08,0.8,0.8,Partidos
569,Aleksandar Radovanović,rs SRB,DF,30-124,4.8,0,1,0,0.0,0.21,0.0,0.0,,10.5,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
570,Anthony Lozano,hn HON,DL,30-324,4.1,0,8,2,25.0,1.94,0.49,0.0,0.0,13.3,0.0,0,0,1.0,1.0,0.12,-1.0,-1.0,Partidos
571,Houboulang Mendes,gw GNB,DF,25-315,4.4,0,1,0,0.0,0.23,0.0,0.0,,23.2,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
572,Jonathan Viera,es ESP,CC,34-145,3.2,0,2,0,0.0,0.62,0.0,0.0,,15.3,0.0,0,0,0.5,0.5,0.23,-0.5,-0.5,Partidos
573,Bruno Langa,mz MOZ,DF,26-135,3.0,0,2,0,0.0,0.67,0.0,0.0,,23.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
574,Arnau Puigmal,es ESP,"DL,DF",23-064,2.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
575,Luka Romero,ar ARG,DL,19-117,2.4,2,5,2,40.0,2.05,0.82,0.4,1.0,17.0,0.0,0,0,0.4,0.4,0.08,1.6,1.6,Partidos
576,Lázaro,br BRA,"DL,CC",22-002,3.2,0,8,4,50.0,2.53,1.26,0.0,0.0,18.3,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9,Partidos
577,Ibrahima Koné,ml MLI,DL,24-272,2.9,0,3,2,66.7,1.03,0.69,0.0,0.0,13.6,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,Partidos
578,Fernando,es ESP,PO,33-278,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
579,Marko Milovanović,rs SRB,"DL,CC",20-223,2.6,1,4,1,25.0,1.56,0.39,0.25,1.0,14.9,0.0,0,0,1.5,1.5,0.38,-0.5,-0.5,Partidos
580,Srđan Babić,rs SRB,DF,27-327,1.0,0,1,0,0.0,1.0,0.0,0.0,,11.6,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
581,Diego Mariño,es ESP,PO,33-310,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
582,Marciano Sanca,gw GNB,"DL,CC",20-011,0.5,0,1,0,0.0,2.09,0.0,0.0,,22.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
583,Rachad Fettal,ma MAR,DL,19-058,0.2,0,1,0,0.0,5.29,0.0,0.0,,,,0,0,,,,,,Partidos
584,Total del equipo,,,26.1,28.0,27,345,112,32.5,12.32,4.0,0.08,0.23,19.0,14.0,1,1,35.5,34.8,0.1,-8.5,-8.8,
585,Total del oponente,,,27.7,28.0,57,423,137,32.4,15.11,4.89,0.12,0.37,15.9,13.0,6,9,47.6,40.6,0.1,9.4,10.4,
